Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none_c,other_c,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none_r,other_r
category,1.0,0.07609588950023399,0.11480578325096635,0.11849965049386081,-0.038749212914606423,0.1167870395510671,0.34769894256844003,0.09866609025486808,0.2135361176343864,-0.024766274434683187,-0.004676715734054608,0.27742470309201894,0.16041815264177478,0.25160873730717226,0.24842747741018503,0.050591430565413036,0.137156593812905,0.22134507915875745,0.34089765891097257,0.25690484496028865,0.05217095740519961,-0.03191170736178438,0.1652894436809787,-0.0019374606457303214,0.15077929059895762,0.15077929059895762,0.12035487353320519,0.11528624888962308,0.057527772030984886,0.07467038087662643,0.13264886249312777,0.1141082405826372,0.023268149720310622
collective,0.07609588950023399,1.0,0.1835128767825767,-0.06956747406569301,0.12456970612411669,0.11017631587925096,0.17380978287478846,0.30414788796368963,-0.06280324875163784,0.21577499009842663,0.10432280541954334,-0.02652596563634256,-0.24185851924243978,0.1630488103991681,0.06971138763041355,-0.08903554074051767,-0.030485927618862974,-0.2172050954016977,0.15908192150621714,0.31738735420635716,-0.00160418453036349,0.15398711970171955,0.006162787734604122,0.26998244804416405,0.03465292084905495,0.03465292084905495,-0.06692163026336787,0.1713354125253992,0.28162166738009825,0.7260039887079709,0.026756720794497313,-0.07087978171385642,0.034809674872373304
datatype,0.11480578325096635,0.1835128767825767,1.0,0.10109005287676608,0.1224513416249885,0.09339147380903817,0.07765599649510539,0.012244387999457521,0.12377246779665153,-0.10790493313161698,-0.023283356616701594,-0.07588640210560982,0.14134925765692263,0.13351146745863818,0.07788168935087227,0.018287299812310576,0.023257386301548277,0.04909731295457725,0.0889460083706025,0.11116216147498595,0.024476302501319783,-0.016933350266692068,-0.0047015244813953735,-0.05962847939999439,0.15399810070180361,0.05646597025732799,-0.06245942635826037,-0.015630486515745067,-0.03435921354681384,0.18393895618916728,0.1224744871391589,0.1424514910969832,0.03580574370197164
event,0.11849965049386081,-0.06956747406569301,0.10109005287676608,1.0,-0.2499527544170401,-0.05358376473986228,0.23301651942844967,0.06998250655976683,0.11898976071183182,-0.04686383455702137,-0.1002386638239411,0.2605538976598582,0.494619366829498,0.0036337218898207144,0.3415698576431471,0.06399221901922214,0.17802727871746407,0.37582301400141443,0.2323971575096507,-0.08581278705797844,0.5196052499580891,-0.031108550841912757,0.3378125224502444,-0.03245763303734318,0.40236455261563614,0.32272990157712483,0.401331363493436,0.03190559699585693,-0.03960590171906697,0.06489498159228944,0.6333333333333333,0.227874916758354,0.15835769793043583
kind,-0.038749212914606423,0.12456970612411669,0.1224513416249885,-0.2499527544170401,1.0,-0.011288091024643272,0.05860487937044512,0.2715112321042243,0.002231964933356584,0.15144343797661727,0.435437406256083,-0.17403810633438638,-0.27938025285992096,0.3607366997243632,-0.21892985914306176,0.02628748639622931,0.04225414110875293,-0.30190855551729334,-0.022098813449325835,0.1536590742882148,0.005473067623079917,0.2839809171235324,-0.2207714951038695,-0.002777777777777778,-0.29269768833882726,-0.18365345150671517,-0.221639938948,0.3036353388445858,0.2327483037012665,0.14725555904605772,-0.2282177322938192,-0.04225414110875293,0.0967440929239068
mixin,0.1167870395510671,0.11017631587925096,0.09339147380903817,-0.05358376473986228,-0.011288091024643272,1.0,0.15994499723336525,0.15205744568925592,0.11246879855199891,-0.018775605742394962,0.2224688094575965,0.14940463483979444,-0.016819571865443424,-0.03875448006439218,0.17321567611389202,0.10682479412989496,-0.06251957531310355,-0.043683995187953295,0.18888612792226947,0.0951944080568723,-0.08340365544302804,-0.009296247081081123,-0.15308545070328547,0.1745891411811493,0.043923740094101486,-0.007774113290991413,0.13078382369789024,0.13196966771711097,0.1083563358589479,0.10179751235201441,-0.037096452512212344,0.003962508294492478,0.18708051169114984
mode,0.34769894256844003,0.17380978287478846,0.07765599649510539,0.23301651942844967,0.05860487937044512,0.15994499723336525,1.0,0.1635462260701404,0.17603316445967754,0.191479692066912,0.1590299328524263,0.27833253723282986,-0.03557600122286249,0.2024345371072011,0.280194282474884,0.16524093003009518,-0.06468007917030075,0.07399022417653002,0.514355483416801,0.1308987022519297,0.15538481330764764,0.037723379420808105,0.34994985354996233,-0.015627967832118696,0.10284633332782848,0.18237285851737028,0.17144929271380055,0.14292506846633107,0.2448464934208757,0.2504983870642766,0.13790773598826614,0.06468007917030075,0.0027805307074249518
phase,0.09866609025486808,0.30414788796368963,0.012244387999457521,0.06998250655976683,0.2715112321042243,0.15205744568925592,0.1635462260701404,1.0,0.04424335154884094,0.13915080528040924,0.27005841031191397,0.04931815079785511,-0.09457231378234209,0.2811797881097682,0.008718753119682735,-0.0259103719193019,0.053038870997105504,-0.009393227336666187,0.053970432124635946,0.17768706774870896,0.08001919101307331,0.1435819187262959,-0.03943359360831999,0.054758567819339354,0.001885612496172415,0.001885612496172415,-0.04056645607286881,0.14617086008519087,0.21728307170385303,0.25636380146510407,0.06498375609121204,-0.053038870997105504,-0.025939815594351004
quality,0.2135361176343864,-0.06280324875163784,0.12377246779665153,0.11898976071183182,0.002231964933356584,0.11246879855199891,0.17603316445967754,0.04424335154884094,1.0,0.142173153360447,0.11256917570016078,0.06898817839212955,0.2331006550634171,0.10767931770692298,0.17591175664992367,0.14832470649520937,-0.16296726742935108,0.25655280964280014,0.4945793736027462,-0.013072891720362214,0.07915770368167162,-0.04512908395186626,0.18274142785508313,-0.14195296976147875,0.21181999189263204,0.25270832124200804,0.23062161089643626,0.011701354166830961,0.07746898797251683,-0.15449721153974783,0.2542794886444625,0.024027225326122274,-0.10150172045464789
relator,-0.024766274434683187,0.21577499009842663,-0.10790493313161698,-0.04686383455702137,0.15144343797661727,-0.018775605742394962,0.191479692066912,0.13915080528040924,0.142173153360447,1.0,0.18135852790753246,0.12302878459788591,-0.11126284884382201,0.08460014228268598,-0.0030652225464741292,-0.18533330328030645,-0.055264303163057825,-0.08454003624424038,0.3046763388009942,0.08101808517936072,0.04754004812485453,0.3227715279640489,0.11884186615841966,0.037646956333170396,0.06399372364491424,0.016970711242850184,-0.016833613882047682,0.24168713758434718,0.6965884849441942,0.22710150476736396,0.07310758190895333,-0.05125964351356088,0.03986923285630206
role,-0.004676715734054608,0.10432280541954334,-0.023283356616701594,-0.1002386638239411,0.435437406256083,0.2224688094575965,0.1590299328524263,0.27005841031191397,0.11256917570016078,0.18135852790753246,1.0,0.05411873365115368,-0.1612418028201312,0.0666934950713668,-0.0666934950713668,0.07133360295865868,-0.04356694245633956,-0.23265705583861543,0.025353590895152867,-0.019251284488553046,-0.048803348360754284,0.14408602150537633,-0.05075300752969596,-0.020194198551006747,-0.22035096937526694,-0.1769978940396005,-0.13691934637842046,0.12357084234275569,0.15580706246068932,0.10065104330754376,-0.20220558047243292,-0.005538170651229604,-0.059873230966907824
roleMixin,0.27742470309201894,-0.02652596563634256,-0.07588640210560982,0.2605538976598582,-0.17403810633438638,0.14940463483979444,0.27833253723282986,0.04931815079785511,0.06898817839212955,0.12302878459788591,0.05411873365115368,1.0,0.11021170301791543,0.029355965494774795,0.28160943890562723,0.1924560244365218,-0.08688833815654373,0.19094819470027075,0.1894557158706083,0.019584973656599145,0.2614673782017588,0.011614522747051246,0.2730752833984733,0.09049981529388093,0.21035451228043073,0.21035451228043073,0.23936889388970212,-0.015282975535440297,0.16871392969239024,0.07343770121662432,0.20971411275061755,0.08688833815654373,0.07141277668883801
situation,0.16041815264177478,-0.24185851924243978,0.14134925765692263,0.494619366829498,-0.27938025285992096,-0.016819571865443424,-0.03557600122286249,-0.09457231378234209,0.2331006550634171,-0.11126284884382201,-0.1612418028201312,0.11021170301791543,1.0,-0.1283952774307254,0.0835748787475588,0.0015825895426651105,0.2302657597799518,0.698014476301126,0.18888612792226947,-0.06764618707578386,0.06449882687594169,0.03333826539422196,0.08366297887272578,-0.07563020986510993,0.19901730024938016,0.09562159347919438,0.18548271851493237,0.09261548429474378,-0.13590455684003636,-0.08116288146984933,0.3524162988660173,0.12107664233171461,0.1269797675971331
subkind,0.25160873730717226,0.1630488103991681,0.13351146745863818,0.0036337218898207144,0.3607366997243632,-0.03875448006439218,0.2024345371072011,0.2811797881097682,0.10767931770692298,0.08460014228268598,0.0666934950713668,0.029355965494774795,-0.1283952774307254,1.0,0.027332144979203804,-0.01743974452712617,0.12109998320051348,-0.00901319966365722,0.04195943609425434,0.1532714261254345,-0.058821607168429324,-0.029107754204876195,-0.10796567844225519,-0.07098634826759882,-0.051058605819509995,-0.005482803309477583,0.005438510654162665,0.07225715326640672,0.1338426537996752,0.1685706881453826,-0.08720932535569714,0.03376826454629703,-0.0482031469664061
type,0.24842747741018503,0.06971138763041355,0.07788168935087227,0.3415698576431471,-0.21892985914306176,0.17321567611389202,0.280194282474884,0.008718753119682735,0.17591175664992367,-0.0030652225464741292,-0.0666934950713668,0.28160943890562723,0.0835748787475588,0.027332144979203804,1.0,0.06382946496928178,-0.06947723395157664,0.22696875516664092,0.309022010480326,0.1697319137903139,0.36306003091180544,-0.1588209501275769,0.4419060326938817,0.1151040320040037,0.4612408284098017,0.7802714459800286,0.6214404840823206,-0.037563285452572454,-0.026174873827759064,0.07337069519996868,0.39244196410063714,0.12109998320051348,0.0482031469664061
none_c,0.050591430565413036,-0.08903554074051767,0.018287299812310576,0.06399221901922214,0.02628748639622931,0.10682479412989496,0.16524093003009518,-0.0259103719193019,0.14832470649520937,-0.18533330328030645,0.07133360295865868,0.1924560244365218,0.0015825895426651105,-0.01743974452712617,0.06382946496928178,1.0,0.011392360611084066,0.03318865310173093,0.038418325323905766,0.00253446953726032,0.03568055129046439,-0.027206304384232608,-0.03905866244235724,-0.058806080678972236,-0.09655575216206669,-0.043047772838921396,-0.07406656417259953,0.09126443480513668,-0.044670025594213146,-0.013882129811724415,-0.012798443803844426,0.1098223562908504,0.08418733329609085
other_c,0.137156593812905,-0.030485927618862974,0.023257386301548277,0.17802727871746407,0.04225414110875293,-0.06251957531310355,-0.06468007917030075,0.053038870997105504,-0.16296726742935108,-0.055264303163057825,-0.04356694245633956,-0.08688833815654373,0.2302657597799518,0.12109998320051348,-0.06947723395157664,0.011392360611084066,1.0,-0.0653009864989776,-0.05033719079862566,-0.006345837813777144,-0.18870797366098652,0.04356694245633956,-0.14761598094449815,-0.011267770962334113,-0.1750503734038866,-0.1750503734038866,-0.16105389860075128,-0.02453788775100315,-0.13432023372494953,-0.004753265955550031,-0.1922694610148612,0.14655172413793102,0.342988087891849
bringsAbout,0.22134507915875745,-0.2172050954016977,0.04909731295457725,0.37582301400141443,-0.30190855551729334,-0.043683995187953295,0.07399022417653002,-0.009393227336666187,0.25655280964280014,-0.08454003624424038,-0.23265705583861543,0.19094819470027075,0.698014476301126,-0.00901319966365722,0.22696875516664092,0.03318865310173093,-0.0653009864989776,1.0,0.24637214800955076,0.029025378244791924,0.1838632646333645,-0.026500301167547487,0.21467396350880788,-0.049860655380886326,0.3397676266964775,0.2140677814930519,0.3819904503581101,0.06439090545429119,-0.12800936046421055,-0.08947288973441542,0.5111192990419237,0.0653009864989776,-0.13184743530803136
characterization,0.34089765891097257,0.15908192150621714,0.0889460083706025,0.2323971575096507,-0.022098813449325835,0.18888612792226947,0.514355483416801,0.053970432124635946,0.4945793736027462,0.3046763388009942,0.025353590895152867,0.1894557158706083,0.18888612792226947,0.04195943609425434,0.309022010480326,0.038418325323905766,-0.05033719079862566,0.24637214800955076,1.0,0.27061597782689956,0.21451390558587197,0.07480564442332233,0.3624242577598808,0.045081579436624705,0.2566001396997562,0.29708391025736897,0.30498981314327883,0.18351555874951866,0.3988529558051026,0.1788224240673145,0.3534373437125938,0.05033719079862566,0.11748292100426269
