Stereotype,DistanceFromOrigin,Rank
role,49.52305219963383,1
subkind,35.04060834311935,2
relator,31.214516120658494,3
kind,23.256109115180255,4
roleMixin,10.734998381448538,5
category,9.851754915283898,6
mode,9.595133526739334,7
none,7.865773476906889,8
type,4.69421684834252,9
phase,4.6633389414918405,10
event,4.433147222065709,11
mixin,2.3267559183223914,12
collective,2.2627627195204023,13
other,2.014513333652211,14
quantity,1.150918570226113,15
enumeration,0.7998216210167727,16
situation,0.40361034174895255,17
datatype,0.4021346134376069,18
quality,0.31791532611354784,19
historicalRoleMixin,0.0,20
phaseMixin,0.0,20
abstract,0.0,20
historicalRole,0.0,20
