Stereotype,category,collective,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type
category,1.0,0.03658054257362973,0.15586500684013443,0.08716082148216785,0.05781806759421862,0.24047572337109388,0.1127496030810811,0.2539175620205927,0.0950848351500779,0.11136486019143717,0.19848436693379035,0.25736414943522323,0.1037979183448657,0.27217668879685286
collective,0.03658054257362973,1.0,0.06661914187337861,0.045535132351879615,0.18206273889306523,0.03546958655389083,0.30348210735935227,0.08068256102782205,0.21464046893112668,0.06040316795957806,0.04316273963653837,0.2762007544485619,0.19497319973949584,0.01023270203265222
datatype,0.15586500684013443,0.06661914187337861,1.0,0.08671804446008556,0.03501458873425179,0.06261450128640868,0.03649975455549569,0.1275221998618034,0.09235715762014102,0.10539548695428624,0.05420113116972793,0.19890155324077338,0.018481639934323994,0.10656987242468625
event,0.08716082148216785,0.045535132351879615,0.08671804446008556,1.0,0.20334989751529284,0.14172193528120186,0.042806591682591516,0.15568469698915963,0.05290835987070153,0.12982979041195647,0.21772848832842406,0.5280398976167476,0.037381417252914904,0.3401278266985656
kind,0.05781806759421862,0.18206273889306523,0.03501458873425179,0.20334989751529284,1.0,0.031015521304203823,0.2876508687612388,0.15064796922232648,0.3296467331811364,0.37565778677687645,0.2010786724210026,0.21864454110969314,0.5050135883179341,0.3264945730925248
mode,0.24047572337109388,0.03546958655389083,0.06261450128640868,0.14172193528120186,0.031015521304203823,1.0,0.03579947017231941,0.24193550566844063,0.08232663216067072,0.08908351006635833,0.1189651996262732,0.05295456436519124,0.09475488407428306,0.2418288521474111
phase,0.1127496030810811,0.30348210735935227,0.03649975455549569,0.042806591682591516,0.2876508687612388,0.03579947017231941,1.0,0.06253688785394905,0.1265062806668662,0.27134470817751566,0.07050135844311493,0.10338546638674537,0.31612822768363424,0.12744572234636029
quality,0.2539175620205927,0.08068256102782205,0.1275221998618034,0.15568469698915963,0.15064796922232648,0.24193550566844063,0.06253688785394905,1.0,0.20829147095496667,0.07494438532748335,0.017151082625929244,0.17593141180300415,0.2625577518127862,0.15178040284649916
relator,0.0950848351500779,0.21464046893112668,0.09235715762014102,0.05290835987070153,0.3296467331811364,0.08232663216067072,0.1265062806668662,0.20829147095496667,1.0,0.22451569601402865,0.09706703797062702,0.19097896156253505,0.32074309338815704,0.048144504661611166
role,0.11136486019143717,0.06040316795957806,0.10539548695428624,0.12982979041195647,0.37565778677687645,0.08908351006635833,0.27134470817751566,0.07494438532748335,0.22451569601402865,1.0,0.013008431744119914,0.22373358231087392,0.0688438102878149,0.2240929296611231
roleMixin,0.19848436693379035,0.04316273963653837,0.05420113116972793,0.21772848832842406,0.2010786724210026,0.1189651996262732,0.07050135844311493,0.017151082625929244,0.09706703797062702,0.013008431744119914,1.0,0.1846289496742996,0.14084736604615133,0.34312611820280625
situation,0.25736414943522323,0.2762007544485619,0.19890155324077338,0.5280398976167476,0.21864454110969314,0.05295456436519124,0.10338546638674537,0.17593141180300415,0.19097896156253505,0.22373358231087392,0.1846289496742996,1.0,0.08204816177947181,0.10715453473768113
subkind,0.1037979183448657,0.19497319973949584,0.018481639934323994,0.037381417252914904,0.5050135883179341,0.09475488407428306,0.31612822768363424,0.2625577518127862,0.32074309338815704,0.0688438102878149,0.14084736604615133,0.08204816177947181,1.0,0.10943341295735148
type,0.27217668879685286,0.01023270203265222,0.10656987242468625,0.3401278266985656,0.3264945730925248,0.2418288521474111,0.12744572234636029,0.15178040284649916,0.048144504661611166,0.2240929296611231,0.34312611820280625,0.10715453473768113,0.10943341295735148,1.0
