Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none_c,other_c,characterization,componentOf,derivation,externalDependence,instantiation,material,mediation,memberOf,participation,none_r,other_r
category,1.0,-0.03077023905729894,0.09067879518535843,0.17872167444471446,-0.11247320293685127,0.12374185816973056,0.32572355602395414,0.07264410106985834,0.2636162070091081,-0.07006234839848587,-0.04520954274793883,0.20488261174506836,0.20586399429140276,0.17531205971310312,0.19120444499264716,0.03309723689103669,0.13654772607424148,0.32781548424909107,0.08447116581971875,-0.059580590276553366,0.1782072751809829,0.19688798436007146,-0.013134040459920513,-0.04685815926359689,-0.09353433913372829,0.15364171277994917,0.28515573037481173,-0.1690545404304738
collective,-0.03077023905729894,1.0,0.04899064245196553,-0.18270458046124896,0.13940300707146455,0.011828743023548749,0.037089628808385636,0.2677944647065337,-0.15455443124359694,0.17320066060502512,0.15455443124359694,-0.10160731599013641,-0.2850438562747845,0.14287283221764732,-0.01742537588393307,-0.16719495242220048,-0.1340738606102049,-0.009924124968126571,0.2560728744939271,0.07753036437246963,-0.08610324250599893,-0.06139106381413452,0.12073416687261009,0.23501542202465764,0.6680761043708041,-0.057348552921311455,-0.29849218168510117,0.2736792264298961
datatype,0.09067879518535843,0.04899064245196553,1.0,0.06651986518407979,0.11025309741262973,0.056474006656162354,0.006456666344444482,0.12736780362017705,0.19271719615922514,-0.1106188529052153,-0.07802315633976727,-0.1124733226255107,0.15710041851623346,0.013825961417013541,0.0826898230594723,0.03981755220125992,0.028005601680560196,0.08587661241559162,0.08429272304235245,0.08429272304235245,-0.004018933586842313,0.05234713688658378,0.05793654595023211,-0.03760908350406823,0.047994611904416305,0.09599458703151435,0.19612457732131522,0.007345637296499237
event,0.17872167444471446,-0.18270458046124896,0.06651986518407979,1.0,-0.31936984067746604,-0.035916426326717966,0.2390220825663958,-0.04999439286771012,0.2026409347004933,-0.19937414344426574,-0.23607327746252754,0.24900017072080058,0.5800502851764952,-0.04769011829261389,0.31936984067746604,0.14701541044579858,0.22135362437762046,0.23134696031858548,-0.15183380652124484,-0.09009225864123656,0.3821970323810846,0.3612342675860519,-0.1308821025854322,-0.21048441257228073,-0.0550427155311031,0.6251037429176369,0.3845891395059033,0.00963536020964334
kind,-0.11247320293685127,0.13940300707146455,0.11025309741262973,-0.31936984067746604,1.0,-0.016556654463313048,-0.057839231404084444,0.25671801540513517,-0.01887128390240993,0.17019803510362014,0.4592012416253083,-0.16643594042796062,-0.2483498169496957,0.3529834711129817,-0.2777777777777778,-0.10700645625096326,-0.03473667371459374,-0.10050378152592121,0.18006221746730838,0.3020398486548399,-0.2916151060537505,-0.24771684715343115,0.35032452487268534,0.24257129990966503,0.10783711211394026,-0.2930426312669155,-0.19166144159279414,0.11844484241978358
mixin,0.12374185816973056,0.011828743023548749,0.056474006656162354,-0.035916426326717966,-0.016556654463313048,1.0,0.09078277120044173,0.18779002337519682,0.18184318022744672,0.00033814920690545554,0.18559252414966212,0.12115236220091141,-0.027549342105263157,-0.07689770213787474,0.07450494508490872,0.12578849342584844,-0.1393235719191397,0.10067238617034946,0.011828743023548749,-0.030581628304784572,-0.034601888921702746,0.07109027887971865,0.07926942881399869,0.07470074703297067,-0.042219974414353385,-0.005598237217968895,0.041351704169300285,0.0344164332722989
mode,0.32572355602395414,0.037089628808385636,0.006456666344444482,0.2390220825663958,-0.057839231404084444,0.09078277120044173,1.0,0.04798724085779642,0.22266611353082696,0.006142733087012354,-0.03012541536005306,0.20992467565814826,0.0063203195139548045,0.05630598609358342,0.2197890793355209,0.10150240743122023,-0.05002764847874547,0.5754930861896671,0.037089628808385636,-0.08143592412275975,0.32187464453275133,0.1681122906636509,-0.09185667238155525,0.05766386532007986,0.13912659920160134,0.1282936214779321,0.1706481925710539,-0.03946036982018791
phase,0.07264410106985834,0.2677944647065337,0.12736780362017705,-0.04999439286771012,0.25671801540513517,0.18779002337519682,0.04798724085779642,1.0,0.07993587610096359,0.09652159215300124,0.21140066406866403,-0.0614788115432846,-0.06781306399659885,0.293963983572295,-0.011669000700233415,-0.07117352953655323,0.004560100536367958,0.03166502481905618,0.17812296969090624,0.11834197301382127,-0.12250284756263483,-0.0568486252368957,0.10628636527725589,0.16431427900656495,0.18986301051833895,-0.0899595397655802,0.029563701277286487,0.07152538011776166
quality,0.2636162070091081,-0.15455443124359694,0.19271719615922514,0.2026409347004933,-0.01887128390240993,0.18184318022744672,0.22266611353082696,0.07993587610096359,1.0,0.12179355828755854,0.04700854700854701,0.07668030335977541,0.2737021063217239,0.09886699292301031,0.28306925853614895,0.18578012780785164,-0.07276334509577617,0.5418055110121051,-0.025649458802128853,-0.0901019450228629,0.2558965427305844,0.3064548467249943,-0.07933288280219176,0.022659277742500972,-0.21403672159751166,0.27650453450735957,0.17293291064023278,-0.15557035486636397
relator,-0.07006234839848587,0.17320066060502512,-0.1106188529052153,-0.19937414344426574,0.17019803510362014,0.00033814920690545554,0.006142733087012354,0.09652159215300124,0.12179355828755854,1.0,0.21814922148974095,0.12401395900670428,-0.14878565103840044,0.16189195643280152,-0.1225425852746065,-0.2476871249234899,-0.17807286200125386,0.13137059432597994,0.03369108740536105,0.3475876271046052,0.010588227852134856,-0.10118620955418667,0.2925577713033873,0.7545275588871418,0.11478597761953907,-0.04235562243670689,-0.13309123511802093,0.039914977307050056
