Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
category,1.0,0.048507125007266595,0.0880223595208481,0.08443879739131735,-0.021442861787304115,0.12037089408299008,0.3162361905573804,0.0691807355085706,0.20640422720186008,-0.030633520175369803,-0.009730660903997997,0.25075356498688345,0.16305409495504733,0.2691025683329034,0.22807407537405283,0.2338340492167456,0.3223723047882543,0.23175955225964906,-0.010941023812191582,-0.061798754954916,0.12475846858067847,0.148675801566703,0.16302125480165458,0.11794942139932893,0.06081409657091598,0.035236129385024476,-0.030214941609383067,0.09611596992180603
collective,0.048507125007266595,1.0,0.1141374353642886,-0.0485300112274194,0.09752021515001667,0.07612890663368321,0.1412795854818768,0.2983695510502833,-0.03386513443679516,0.17177512553985352,0.059289246455505686,-0.062118099353251445,-0.2596238997478432,0.21061641088524635,0.016074760739013736,-0.1890436242718668,0.12430831556747918,0.21554533891146846,0.029472517928975078,0.04560853668065128,0.016074760739013736,0.11145564251507056,0.029472517928975078,0.011909826683508273,0.0497199683211185,0.2130806821621664,0.6976446160731962,0.057777777777777775
datatype,0.0880223595208481,0.1141374353642886,1.0,0.08045610167761785,0.11870800362411062,-0.011227217828476795,-0.005406392784243745,0.023629719690306528,0.18222379360245897,-0.14400971203271426,-0.05365326267617732,-0.08247647568524145,0.19968184604007583,0.05939566942817363,0.0627782711473662,0.14131232880601693,0.04294109424583882,0.137163686528586,0.0019219222685608929,0.0029741626587270107,0.002282846223540589,0.2255532370607385,0.0698298424243791,-0.10289142824317339,-0.015521910488577735,-0.04263980713421399,0.1232736960711918,0.1141374353642886
event,0.08443879739131735,-0.0485300112274194,0.08045610167761785,1.0,-0.24909197807747444,-0.1110955833201716,0.17639665532879145,0.015089375712704049,0.1033552047432412,-0.1319880674070291,-0.1405685726040455,0.25014470855589505,0.5235935054630373,-0.010633527308849448,0.2976282826293353,0.3812515489293522,0.15862378876565725,-0.13190185900273765,0.45488541286309947,-0.012726460093801758,0.2976282826293353,0.3248893721471076,0.2914350611224603,0.34038232987079337,-0.024174325672916924,-0.10998859309346419,0.05494675987003112,0.5777181336551057
kind,-0.021442861787304115,0.09752021515001667,0.11870800362411062,-0.24909197807747444,1.0,0.0012708214194383722,0.033045606870931415,0.2721617828908051,0.04962993523287584,0.16080185903103064,0.48176130926368294,-0.1809671140428568,-0.21468807419901287,0.37904738388466347,-0.26046511627906976,-0.23122741560118612,-0.020961125226574066,0.15955146609518767,-0.011747405388015286,0.3029839362175413,-0.26046511627906976,-0.31039864775121623,-0.21928490057628533,-0.2081992806388122,0.34136359556096174,0.21111816609626197,0.10930232558139535,-0.24326471251707454
mixin,0.12037089408299008,0.07612890663368321,-0.011227217828476795,-0.1110955833201716,0.0012708214194383722,1.0,0.10935048321957369,0.2287230602128749,0.1887999683176149,0.00456471127787645,0.24000009315148355,0.12613528117095907,-0.059630733912704806,-0.07651301417479452,0.06608271381079535,-0.05706353193852715,0.13446321855011928,0.009747660842063181,-0.09557784332743721,-0.030905754998184355,-0.06862435664967209,0.06902218064991945,0.05563486402641868,0.18203386447905476,0.08945750668694888,0.11842901908745984,-0.0012708214194383722,-0.048019771876630944
mode,0.3162361905573804,0.1412795854818768,-0.005406392784243745,0.17639665532879145,0.033045606870931415,0.10935048321957369,1.0,0.11014008289645878,0.1974019045890283,0.1623851284074682,0.08858705156156375,0.2667683834227398,-0.06179921569121183,0.18632708041103146,0.21020677704009152,0.07654743912221673,0.4841851920567577,0.1290828512668776,0.08140221458513287,0.04145828901369479,0.3075077306045007,0.051977286493997965,0.136013826901741,0.1677577606417203,0.1079389420801932,0.2263941619312289,0.16155630025788692,0.05160511805026638
phase,0.0691807355085706,0.2983695510502833,0.023629719690306528,0.015089375712704049,0.2721617828908051,0.2287230602128749,0.11014008289645878,1.0,0.10605030968989268,0.06573133315654417,0.21212202348730286,0.012482724781892435,-0.04860902470896226,0.34268174962010295,-0.0638646782956763,-0.028361942260881005,0.023102226353318978,0.13481760963453063,-0.03915377339892205,0.07509773599206265,-0.11593895444445851,-0.02157283715208825,-0.03915377339892205,-0.0473174849721704,0.08016727752453925,0.15747292303759233,0.14443242629945255,-0.037579169555650244
quality,0.20640422720186008,-0.03386513443679516,0.18222379360245897,0.1033552047432412,0.04962993523287584,0.1887999683176149,0.1974019045890283,0.10605030968989268,1.0,0.20097961390798033,0.13538351170785567,0.06593282100521948,0.22538196284587772,0.12272535649175868,0.2538762071527879,0.26999457429932683,0.5333534423493435,-0.007320761336296776,0.043390363237175794,-0.06465941446363695,0.20329185008851064,0.18198290816576906,0.27052016586140465,0.2380682107247712,-0.026721325690128896,0.13456530571156422,-0.15079864936143042,0.24585207987231814
relator,-0.030633520175369803,0.17177512553985352,-0.14400971203271426,-0.1319880674070291,0.16080185903103064,0.00456471127787645,0.1623851284074682,0.06573133315654417,0.20097961390798033,1.0,0.14203295688024792,0.14094877519420265,-0.1219561281083279,0.14773690331348618,-0.10546095949437724,-0.08506485146570852,0.27170250093093073,0.054284214001990155,-0.011135041693905707,0.31923449121733394,0.06056173911558298,0.03619910984587427,-0.07325685324937965,-0.06446886471798942,0.20797890284964118,0.6916344565065204,0.1712435381888898,0.018765349848891562
