Stereotype,average_quantity,rank,proportion
abstract,0,11,0.0
category,2,5,0.05128205128205128
collective,0,11,0.0
datatype,0,11,0.0
enumeration,0,11,0.0
event,2,5,0.05128205128205128
historicalRole,0,11,0.0
historicalRoleMixin,0,11,0.0
kind,6,2,0.15384615384615385
mixin,0,11,0.0
mode,1,9,0.02564102564102564
phase,2,5,0.05128205128205128
phaseMixin,0,11,0.0
quality,1,9,0.02564102564102564
quantity,0,11,0.0
relator,3,3,0.07692307692307693
role,3,3,0.07692307692307693
roleMixin,2,5,0.05128205128205128
situation,0,11,0.0
subkind,17,1,0.4358974358974359
type,0,11,0.0
