year,category,period,predicted,a (quad),b (linear),intercept
2015,none (occurrence),2015-2018,-0.7770903706550598,-9.0918412513347,36691.25057934794,-37017949.54977604
2016,none (occurrence),2015-2018,41.26140485703945,-9.0918412513347,36691.25057934794,-37017949.54977604
2017,none (occurrence),2015-2018,65.11621756851673,-9.0918412513347,36691.25057934794,-37017949.54977604
2018,none (occurrence),2015-2018,70.78734778612852,-9.0918412513347,36691.25057934794,-37017949.54977604
2015,none (model-wise),2015-2018,10.755431868135929,-4.654213043508207,18775.954188058717,-18936384.778928332
2016,none (model-wise),2015-2018,25.576841551810503,-4.654213043508207,18775.954188058717,-18936384.778928332
2017,none (model-wise),2015-2018,31.08982513844967,-4.654213043508207,18775.954188058717,-18936384.778928332
2018,none (model-wise),2015-2018,27.294382639229298,-4.654213043508207,18775.954188058717,-18936384.778928332
2019,none (occurrence),2019-2024,39.11629443243146,-2.867192265275662,11587.72799720198,-11707872.980385002
2020,none (occurrence),2019-2024,46.25473218597472,-2.867192265275662,11587.72799720198,-11707872.980385002
2021,none (occurrence),2019-2024,47.65878541022539,-2.867192265275662,11587.72799720198,-11707872.980385002
2022,none (occurrence),2019-2024,43.32845410332084,-2.867192265275662,11587.72799720198,-11707872.980385002
2023,none (occurrence),2019-2024,33.263738265261054,-2.867192265275662,11587.72799720198,-11707872.980385002
2024,none (occurrence),2019-2024,17.464637896046042,-2.867192265275662,11587.72799720198,-11707872.980385002
2019,none (model-wise),2019-2024,20.9354199282825,-0.2962100910094705,1195.3972214625924,-1206026.7919155895
2020,none (model-wise),2019-2024,19.940083803841844,-0.2962100910094705,1195.3972214625924,-1206026.7919155895
2021,none (model-wise),2019-2024,18.352327496977523,-0.2962100910094705,1195.3972214625924,-1206026.7919155895
2022,none (model-wise),2019-2024,16.172151008620858,-0.2962100910094705,1195.3972214625924,-1206026.7919155895
2023,none (model-wise),2019-2024,13.399554337607697,-0.2962100910094705,1195.3972214625924,-1206026.7919155895
2024,none (model-wise),2019-2024,10.034537485102192,-0.2962100910094705,1195.3972214625924,-1206026.7919155895
2015,other (occurrence),2015-2018,13.502817653119564,-4.280400330801058,17257.84864094926,-17395163.075568385
2016,other (occurrence),2015-2018,17.05772514268756,-4.280400330801058,17257.84864094926,-17395163.075568385
2017,other (occurrence),2015-2018,12.051831971853971,-4.280400330801058,17257.84864094926,-17395163.075568385
2018,other (occurrence),2015-2018,-1.5148618631064892,-4.280400330801058,17257.84864094926,-17395163.075568385
2015,other (model-wise),2015-2018,11.613407524302602,-0.9852499568733037,3971.494174815968,-4002212.6427007415
2016,other (model-wise),2015-2018,11.565006183926016,-0.9852499568733037,3971.494174815968,-4002212.6427007415
2017,other (model-wise),2015-2018,9.546104930341244,-0.9852499568733037,3971.494174815968,-4002212.6427007415
2018,other (model-wise),2015-2018,5.556703762616962,-0.9852499568733037,3971.494174815968,-4002212.6427007415
2019,other (occurrence),2019-2024,22.70912140607834,2.4298162373288505,-9827.157103949456,9936244.754981287
2020,other (occurrence),2019-2024,9.57980002835393,2.4298162373288505,-9827.157103949456,9936244.754981287
2021,other (occurrence),2019-2024,1.3101111222058535,2.4298162373288505,-9827.157103949456,9936244.754981287
2022,other (occurrence),2019-2024,-2.099945304915309,2.4298162373288505,-9827.157103949456,9936244.754981287
2023,other (occurrence),2019-2024,-0.6503692585974932,2.4298162373288505,-9827.157103949456,9936244.754981287
2024,other (occurrence),2019-2024,5.658839259296656,2.4298162373288505,-9827.157103949456,9936244.754981287
2019,other (model-wise),2019-2024,13.75063578505069,0.8596874510226371,-3477.951824451484,3517602.0866652434
2020,other (model-wise),2019-2024,8.076426014769822,0.8596874510226371,-3477.951824451484,3517602.0866652434
2021,other (model-wise),2019-2024,4.1215911456383765,0.8596874510226371,-3477.951824451484,3517602.0866652434
2022,other (model-wise),2019-2024,1.8861311781220138,0.8596874510226371,-3477.951824451484,3517602.0866652434
2023,other (model-wise),2019-2024,1.3700461140833795,0.8596874510226371,-3477.951824451484,3517602.0866652434
2024,other (model-wise),2019-2024,2.573335950728506,0.8596874510226371,-3477.951824451484,3517602.0866652434
