Stereotype,category,event,kind,mode,phase,relator,role,roleMixin,subkind,type,characterization,componentOf,derivation,material,mediation,memberOf
category,1.0,0.046099489352494576,0.476055984365645,0.5015836916682662,0.42881373166206543,0.319816974177032,0.33570999518310524,0.46522269209266365,0.6118837669146492,0.5268882257474768,0.45771339789242765,0.3752434535308646,0.22654422445658615,0.48655022770117884,0.5479638458732548,0.3980973290559002
event,0.046099489352494576,1.0,-0.32135761529072876,0.13289861934587716,-0.05218849262776773,-0.41209136485519976,0.008000748998630096,0.27257662332629273,-0.008985459426924249,0.30522443880711253,0.03310574412673125,-0.30382500564040404,-0.2377623852887128,0.07522528764848468,-0.17855534018353086,-0.13295201176185759
kind,0.476055984365645,-0.32135761529072876,1.0,0.2185605489722541,0.1629767542129647,0.3424072465347157,0.5350945624019946,-0.05273816226918011,0.5561542335602263,0.22698007232399992,0.0008770811514226592,0.5028307291386536,0.3550828677294784,0.6026134028524377,0.2548436080775516,0.24828377435009985
mode,0.5015836916682662,0.13289861934587716,0.2185605489722541,1.0,0.21105895166146535,0.2381043371194264,0.2682573794991395,0.5064204822950009,0.22463970160358876,0.47273331449219663,0.5579190449392771,0.3431648756972759,0.10896945306465246,0.1957925460970619,0.45870038252140893,0.40045695945051235
phase,0.42881373166206543,-0.05218849262776773,0.1629767542129647,0.21105895166146535,1.0,0.18210522305759674,0.4029320013137426,0.3844678989428518,0.3581066716709065,0.17860833927074551,0.04278690205320076,0.2204444627331283,0.3754358228031592,0.305736745256448,0.2710175343578706,0.1610233623643564
relator,0.319816974177032,-0.41209136485519976,0.3424072465347157,0.2381043371194264,0.18210522305759674,1.0,0.49941715040098666,0.3884201296050317,0.10442346958507316,0.2841077150474624,0.3635124009189914,0.35147304710699145,0.5542958945272572,0.4341796361484034,0.6844235173892425,0.2658443080162397
role,0.33570999518310524,0.008000748998630096,0.5350945624019946,0.2682573794991395,0.4029320013137426,0.49941715040098666,1.0,0.21484691533734787,0.26382217642397354,0.42547750038458954,0.09984838945594482,0.24537762120124454,0.33082979210417335,0.5288567043706887,0.3576735347264672,0.21121900260188095
roleMixin,0.46522269209266365,0.27257662332629273,-0.05273816226918011,0.5064204822950009,0.3844678989428518,0.3884201296050317,0.21484691533734787,1.0,0.1779448889505285,0.4385873060375596,0.4717993135098334,0.15868187927291091,0.18643996145311478,0.19759015502625665,0.4963716800272941,0.18455126913648487
subkind,0.6118837669146492,-0.008985459426924249,0.5561542335602263,0.22463970160358876,0.3581066716709065,0.10442346958507316,0.26382217642397354,0.1779448889505285,1.0,0.32180256884405634,0.016774422263743007,0.4188646722041172,0.13157290826709733,0.4247061959207159,0.30726817290942754,0.1675605860363094
type,0.5268882257474768,0.30522443880711253,0.22698007232399992,0.47273331449219663,0.17860833927074551,0.2841077150474624,0.42547750038458954,0.4385873060375596,0.32180256884405634,1.0,0.34350537081835225,0.20993983081137543,0.04135372693589487,0.3112494715065166,0.2832647505402225,0.33436271839360854
characterization,0.45771339789242765,0.03310574412673125,0.0008770811514226592,0.5579190449392771,0.04278690205320076,0.3635124009189914,0.09984838945594482,0.4717993135098334,0.016774422263743007,0.34350537081835225,1.0,0.382677558442071,0.21310420668955146,0.06730738152083446,0.6598034848475057,0.38469934556539837
componentOf,0.3752434535308646,-0.30382500564040404,0.5028307291386536,0.3431648756972759,0.2204444627331283,0.35147304710699145,0.24537762120124454,0.15868187927291091,0.4188646722041172,0.20993983081137543,0.382677558442071,1.0,0.4269202111692246,0.3757965783007417,0.4371290621903509,0.5697231605778025
derivation,0.22654422445658615,-0.2377623852887128,0.3550828677294784,0.10896945306465246,0.3754358228031592,0.5542958945272572,0.33082979210417335,0.18643996145311478,0.13157290826709733,0.04135372693589487,0.21310420668955146,0.4269202111692246,1.0,0.6954209711401158,0.5118405754373725,0.32750449729333714
material,0.48655022770117884,0.07522528764848468,0.6026134028524377,0.1957925460970619,0.305736745256448,0.4341796361484034,0.5288567043706887,0.19759015502625665,0.4247061959207159,0.3112494715065166,0.06730738152083446,0.3757965783007417,0.6954209711401158,1.0,0.4024654226054859,0.24596879363801735
mediation,0.5479638458732548,-0.17855534018353086,0.2548436080775516,0.45870038252140893,0.2710175343578706,0.6844235173892425,0.3576735347264672,0.4963716800272941,0.30726817290942754,0.2832647505402225,0.6598034848475057,0.4371290621903509,0.5118405754373725,0.4024654226054859,1.0,0.4627200892653107
memberOf,0.3980973290559002,-0.13295201176185759,0.24828377435009985,0.40045695945051235,0.1610233623643564,0.2658443080162397,0.21121900260188095,0.18455126913648487,0.1675605860363094,0.33436271839360854,0.38469934556539837,0.5697231605778025,0.32750449729333714,0.24596879363801735,0.4627200892653107,1.0
