Stereotype,category,collective,datatype,enumeration,event,kind,mixin,mode,phase,quality,quantity,relator,role,roleMixin,situation,subkind,type,characterization,componentOf,derivation,material,mediation,memberOf,subCollectionOf
category,1.0,0.1839638565299368,-0.0418765756358005,-0.15922171574040855,0.07422696190252055,0.053875681986269665,0.21909444007749662,0.4575872718366363,0.35557950110937975,0.029854071701326604,0.07679425377272005,0.013870839642941318,0.06570137733212028,0.4061811972299616,-0.0418765756358005,0.4882154882154882,0.32960882164869615,0.39674909863151514,0.07422696190252055,0.1179021369650012,0.2901294265928297,0.35931349533480833,0.1839638565299368,-0.15922171574040855
collective,0.1839638565299368,1.0,0.3268602252303067,-0.048545977336288584,-0.350033298449319,0.11213790227498134,0.28735337457963966,0.41349254254555623,0.15418961562809932,-0.048545977336288584,0.2379986484065753,0.14886628953921086,0.09615384615384616,0.0,-0.13891559572288037,0.05913123959890826,0.20464687117164013,0.2621269092188047,0.33796318470968734,0.23683273335783547,0.22645540682891915,0.2696690494862323,0.7564102564102564,0.32040345041950463
datatype,-0.0418765756358005,0.3268602252303067,1.0,0.08663791001045901,0.06923896367587466,0.2412253203385038,0.4377792850587662,0.19097885354754401,-0.07147416898918632,0.08663791001045901,0.47193990372426947,-0.23289712627804457,-0.016343011261515338,-0.14433756729740643,0.20833333333333334,0.1172544117802414,0.13043729868748774,0.24089707546208103,0.21541010921383227,-0.09488401440957371,0.0,-0.045834924851410566,0.3268602252303067,0.08663791001045901
enumeration,-0.15922171574040855,-0.048545977336288584,0.08663791001045901,1.0,-0.11883176892065872,0.19107892658954462,0.21230991843282734,0.03630667057931574,0.010615495921641366,0.16176470588235295,0.3738321088841869,0.010249000771134848,0.048545977336288584,0.0,0.08663791001045901,0.029854071701326604,0.03321055820775357,0.24929568306713204,0.22852263253972832,-0.010249000771134848,0.0,0.13615001467243404,-0.048545977336288584,0.16176470588235295
event,0.07422696190252055,-0.350033298449319,0.06923896367587466,-0.11883176892065872,1.0,-0.4025021877529887,0.026393586082163193,0.1974661233610029,-0.09897594780811197,0.05484543180953479,-0.016597653257732305,-0.3376412643274269,-0.22329710418318627,0.31980107453341566,0.5077524002897476,0.07422696190252055,0.21331172949323238,0.07460921467460305,-0.29545454545454547,-0.26756477550475344,-0.10660035817780522,-0.1974661233610029,-0.12070113739631691,-0.11883176892065872
kind,0.053875681986269665,0.11213790227498134,0.2412253203385038,0.19107892658954462,-0.4025021877529887,1.0,0.019157088122605363,0.0032760131644363746,0.16475095785440613,-0.41400434094401334,0.21684543705982773,-0.051787955522155454,0.42051713353118003,-0.18569533817705186,-0.26802813370944867,0.1903607430181528,-0.015982110049512808,-0.056652505310287433,0.3497150155886623,0.3329225712138565,0.5570860145311556,-0.0032760131644363746,0.11213790227498134,0.19107892658954462
mixin,0.21909444007749662,0.28735337457963966,0.4377792850587662,0.21230991843282734,0.026393586082163193,0.019157088122605363,1.0,0.3701894875813103,0.41762452107279696,0.41400434094401334,0.5156102614533682,0.051787955522155454,0.378465420178062,0.18569533817705186,0.09827698236013119,0.08260937904561348,0.4714722464606278,0.4365575409204502,0.15176311997243835,0.08877935232369506,0.18569533817705186,0.12776451341301862,0.28735337457963966,0.21230991843282734
mode,0.4575872718366363,0.41349254254555623,0.19097885354754401,0.03630667057931574,0.1974661233610029,0.0032760131644363746,0.3701894875813103,1.0,0.2457009873327281,-0.13615001467243404,0.2760569736087841,0.17712297710801905,0.04194851880896947,0.47633051162246687,-0.09930900384472288,0.34088716224071564,0.314302690314802,0.46445532752744195,0.09027022782217275,0.0632582061100068,0.15877683720748895,0.2773109243697479,0.2996322772069248,0.03630667057931574
phase,0.35557950110937975,0.15418961562809932,-0.07147416898918632,0.010615495921641366,-0.09897594780811197,0.16475095785440613,0.41762452107279696,0.2457009873327281,1.0,0.010615495921641366,0.3324963368250692,0.051787955522155454,0.24530166122652167,0.30949223029508643,-0.07147416898918632,0.35557950110937975,0.16781215551988446,0.056652505310287433,0.15176311997243835,0.36991396801539606,0.18569533817705186,0.12776451341301862,0.15418961562809932,0.21230991843282734
quality,0.029854071701326604,-0.048545977336288584,0.08663791001045901,0.16176470588235295,0.05484543180953479,-0.41400434094401334,0.41400434094401334,-0.13615001467243404,0.010615495921641366,1.0,0.12016032071277435,0.010249000771134848,0.048545977336288584,0.17149858514250882,0.3217979514674192,-0.15922171574040855,0.2435440935235262,0.24929568306713204,-0.2925089696508522,-0.20498001542269695,-0.34299717028501764,-0.03630667057931574,-0.2330206912141852,-0.11764705882352941
quantity,0.07679425377272005,0.2379986484065753,0.47193990372426947,0.3738321088841869,-0.016597653257732305,0.21684543705982773,0.5156102614533682,0.2760569736087841,0.3324963368250692,0.12016032071277435,1.0,0.055829052623908255,0.26444294267397256,-0.0778498944161523,0.2584432806109095,0.07679425377272005,0.18090680674665818,0.4819992036541475,0.1410800526907246,0.2977549473275107,0.2335496832484569,0.1936519068598933,0.2379986484065753,0.12016032071277435
relator,0.013870839642941318,0.14886628953921086,-0.23289712627804457,0.010249000771134848,-0.3376412643274269,-0.051787955522155454,0.051787955522155454,0.17712297710801905,0.051787955522155454,0.010249000771134848,0.055829052623908255,1.0,0.10826639239215335,0.23904572186687872,-0.06900655593423542,-0.1179021369650012,0.16201851746019652,0.36035409316916067,0.025482359571881278,0.35714285714285715,0.11952286093343936,0.6642111641550714,0.14886628953921086,0.010249000771134848
