Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
bringsAbout,1.0,0.27986060846150407,-0.02631578947368421,-0.12940439184494937,,-0.09398043290108911,0.5459530063877281,1.0,1.0,1.0,-0.1476196258457228,0.11403409977382886,-0.10602906636991295,0.716350399411379,,-0.05474068369154752,-0.03770265260059889,,1.0,-0.014447423417877425,-0.12938789985586244
characterization,0.27986060846150407,1.0,0.14816149859726688,0.39048771140471733,,0.22333199180194732,0.4661352159938756,0.27986060846150407,0.27986060846150407,0.27986060846150407,0.08399670268769038,0.665989312103316,0.39286990279877526,0.3549946842476144,,0.14158647934599475,0.36769466443364485,,0.27986060846150407,-0.07334591952981218,0.5302692097816649
comparative,-0.02631578947368421,0.14816149859726688,1.0,0.19410658776742404,,-0.09398043290108911,-0.046795971976090985,-0.02631578947368421,-0.02631578947368421,-0.02631578947368421,0.031077815967520593,0.19005683295638143,0.30925144357891277,-0.03770265260059889,,-0.05474068369154752,-0.03770265260059889,,-0.02631578947368421,-0.1155793873430194,-0.12938789985586244
componentOf,-0.12940439184494937,0.39048771140471733,0.19410658776742404,1.0,,0.4319196668576882,-0.01524252533922075,-0.12940439184494937,-0.12940439184494937,-0.12940439184494937,0.3867669887441342,0.4439251093687929,0.5734664989925191,-0.18539777556743212,,0.36969115685316906,0.39515872036007166,,-0.12940439184494937,-0.21085281643212103,0.29900586528864
creation,,,,,,,,,,,,,,,,,,,,,
derivation,-0.09398043290108911,0.22333199180194732,-0.09398043290108911,0.4319196668576882,,1.0,-0.0042851388914084635,-0.09398043290108911,-0.09398043290108911,-0.09398043290108911,0.696869360855048,0.5169575173799451,0.33512761558269133,-0.13464584129109894,,0.38171265261506054,0.42637849742181333,,-0.09398043290108911,-0.1297824113926267,0.5789296304252848
externalDependence,0.5459530063877281,0.4661352159938756,-0.046795971976090985,-0.01524252533922075,,-0.0042851388914084635,1.0,0.5459530063877281,0.5459530063877281,0.5459530063877281,-0.15929738848363081,0.2335156543556937,0.1509441233820989,0.8148500750945851,,-0.0973424529993053,-0.06704462643183295,,0.5459530063877281,-0.03590164639738705,0.22664221444529103
historicalDependence,1.0,0.27986060846150407,-0.02631578947368421,-0.12940439184494937,,-0.09398043290108911,0.5459530063877281,1.0,1.0,1.0,-0.1476196258457228,0.11403409977382886,-0.10602906636991295,0.716350399411379,,-0.05474068369154752,-0.03770265260059889,,1.0,-0.014447423417877425,-0.12938789985586244
instantiation,1.0,0.27986060846150407,-0.02631578947368421,-0.12940439184494937,,-0.09398043290108911,0.5459530063877281,1.0,1.0,1.0,-0.1476196258457228,0.11403409977382886,-0.10602906636991295,0.716350399411379,,-0.05474068369154752,-0.03770265260059889,,1.0,-0.014447423417877425,-0.12938789985586244
manifestation,1.0,0.27986060846150407,-0.02631578947368421,-0.12940439184494937,,-0.09398043290108911,0.5459530063877281,1.0,1.0,1.0,-0.1476196258457228,0.11403409977382886,-0.10602906636991295,0.716350399411379,,-0.05474068369154752,-0.03770265260059889,,1.0,-0.014447423417877425,-0.12938789985586244
material,-0.1476196258457228,0.08399670268769038,0.031077815967520593,0.3867669887441342,,0.696869360855048,-0.15929738848363081,-0.1476196258457228,-0.1476196258457228,-0.1476196258457228,1.0,0.4136191264939108,0.2573879693035649,-0.2114947558710837,,0.25713517597822727,0.3904518569927699,,-0.1476196258457228,0.18368762464316576,0.43342746483672684
mediation,0.11403409977382886,0.665989312103316,0.19005683295638143,0.4439251093687929,,0.5169575173799451,0.2335156543556937,0.11403409977382886,0.11403409977382886,0.11403409977382886,0.4136191264939108,1.0,0.47005812184587636,0.16337674583899867,,0.23538290061109435,0.39266274299082415,,0.11403409977382886,-0.30184151644917884,0.5852954706673059
memberOf,-0.10602906636991295,0.39286990279877526,0.30925144357891277,0.5734664989925191,,0.33512761558269133,0.1509441233820989,-0.10602906636991295,-0.10602906636991295,-0.10602906636991295,0.2573879693035649,0.47005812184587636,1.0,0.045442542590010196,,0.5775455124266246,0.4255369523964526,,-0.10602906636991295,-0.2927922252669631,0.42217795757027227
participation,0.716350399411379,0.3549946842476144,-0.03770265260059889,-0.18539777556743212,,-0.13464584129109894,0.8148500750945851,0.716350399411379,0.716350399411379,0.716350399411379,-0.2114947558710837,0.16337674583899867,0.045442542590010196,1.0,,-0.07842702125298404,-0.054016620498614956,,0.716350399411379,-0.1770015768312775,0.0855572988376122
participational,,,,,,,,,,,,,,,,,,,,,
subCollectionOf,-0.05474068369154752,0.14158647934599475,-0.05474068369154752,0.36969115685316906,,0.38171265261506054,-0.0973424529993053,-0.05474068369154752,-0.05474068369154752,-0.05474068369154752,0.25713517597822727,0.23538290061109435,0.5775455124266246,-0.07842702125298404,,1.0,0.6877446479107832,,-0.05474068369154752,-0.19996637332378708,0.30020099514133763
subQuantityOf,-0.03770265260059889,0.36769466443364485,-0.03770265260059889,0.39515872036007166,,0.42637849742181333,-0.06704462643183295,-0.03770265260059889,-0.03770265260059889,-0.03770265260059889,0.3904518569927699,0.39266274299082415,0.4255369523964526,-0.054016620498614956,,0.6877446479107832,1.0,,-0.03770265260059889,0.08067238284364073,0.4289747900052501
termination,,,,,,,,,,,,,,,,,,,,,
triggers,1.0,0.27986060846150407,-0.02631578947368421,-0.12940439184494937,,-0.09398043290108911,0.5459530063877281,1.0,1.0,1.0,-0.1476196258457228,0.11403409977382886,-0.10602906636991295,0.716350399411379,,-0.05474068369154752,-0.03770265260059889,,1.0,-0.014447423417877425,-0.12938789985586244
none,-0.014447423417877425,-0.07334591952981218,-0.1155793873430194,-0.21085281643212103,,-0.1297824113926267,-0.03590164639738705,-0.014447423417877425,-0.014447423417877425,-0.014447423417877425,0.18368762464316576,-0.30184151644917884,-0.2927922252669631,-0.1770015768312775,,-0.19996637332378708,0.08067238284364073,,-0.014447423417877425,1.0,-0.1639820586652343
other,-0.12938789985586244,0.5302692097816649,-0.12938789985586244,0.29900586528864,,0.5789296304252848,0.22664221444529103,-0.12938789985586244,-0.12938789985586244,-0.12938789985586244,0.43342746483672684,0.5852954706673059,0.42217795757027227,0.0855572988376122,,0.30020099514133763,0.4289747900052501,,-0.12938789985586244,-0.1639820586652343,1.0
