Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,creation,derivation,externalDependence,material,mediation,participation,none_r,other_r
category,1.0,0.16407564301774594,0.07555292067699489,0.31046328003385276,0.03820679571283784,0.32938579963961684,0.035685895901152606,0.03142040332539594,0.24523263016406444,0.2327299622335074,0.2552422209916004,0.13680351227802326,0.38485167127202774,0.3061853873745931,0.07580639268973097,0.0886825149790355,0.15735091209068527,0.08406044556947355,0.06036582074185642,0.17159474500397368,0.15831499889555992,0.0999359521370953
event,0.16407564301774594,1.0,0.18237223933687347,0.2599386674084532,0.13003019092799406,0.16080455886684852,0.12354826670635502,0.02256272477931984,0.30528412890379164,0.06655505694033685,0.4017690321147357,0.01081653158279256,0.3358994340868301,0.003556230491751593,0.6317124469192864,0.02592113076884387,0.3999187996282766,0.0837216696205472,0.04760243403225696,0.7686381727103905,0.21820131849919114,0.13066260697861415
kind,0.07555292067699489,0.18237223933687347,1.0,0.09441787563201136,0.28875357230699183,0.14789731696284755,0.32835021337578785,0.3916291421519337,0.1634256498642579,0.5154041605183818,0.32376055954115385,0.08708724202628686,0.012723784282762931,0.1908584244335431,0.0777389092366212,0.23174791265297448,0.2889937745388875,0.23799699627479093,0.33016553842277097,0.2390771892759565,0.06947236105006376,0.0239815729804522
mode,0.31046328003385276,0.2599386674084532,0.09441787563201136,1.0,0.11340710973118585,0.2932524432504219,0.17264138002199875,0.24800973805884455,0.19249721902196368,0.2573989513317431,0.24077828064593132,0.1619550768923301,0.574411764704319,0.16489321398024867,0.18737025213992864,0.010213056090027851,0.40803572632902574,0.16007081273978754,0.21216048705819315,0.145882597222463,0.0785084031339545,0.08286370925597995
phase,0.03820679571283784,0.13003019092799406,0.28875357230699183,0.11340710973118585,1.0,0.021505231155876853,0.23952429575709408,0.3456959096822139,0.012982950373279688,0.2905282960495576,0.05604206430184793,0.043719406704785135,0.021579565188197657,0.19029008636918243,0.05257645396308074,0.09269956779250034,0.05537265902584887,0.1558453791751251,0.31275366120304887,0.03028553907457324,0.02156283406291058,0.04236016287612127
quality,0.32938579963961684,0.16080455886684852,0.14789731696284755,0.2932524432504219,0.021505231155876853,1.0,0.19396160586002348,0.11918789977649226,0.06214334125678219,0.2799568579085642,0.1449478319418581,0.27124030450452064,0.574085611979278,0.1333405886057801,0.01384442744966269,0.058174947437404416,0.0658519213045094,0.16010575362197738,0.09775194603774855,0.1839528775381657,0.018971236804745634,0.10167265905153013
relator,0.035685895901152606,0.12354826670635502,0.32835021337578785,0.17264138002199875,0.23952429575709408,0.19396160586002348,1.0,0.308269754667952,0.09971795862576027,0.29304428535363297,0.019762743483180346,0.1518207654977317,0.28236821183566563,0.20929799434641236,0.08404610600303565,0.2932497680988858,0.0884770196598031,0.33404266612154065,0.7645953931764081,0.06464196485475959,0.0567978210695893,0.017282958627610437
role,0.03142040332539594,0.02256272477931984,0.3916291421519337,0.24800973805884455,0.3456959096822139,0.11918789977649226,0.308269754667952,1.0,0.08210015425938828,0.1408245412690901,0.17406663677822481,0.09635050734633839,0.08918099867654582,0.05417616678480838,0.018456521157606796,0.1930837857426044,0.061023004954101574,0.06833685046997454,0.3593215452063703,0.1913987123450398,0.10877704066077855,0.12379813489435063
roleMixin,0.24523263016406444,0.30528412890379164,0.1634256498642579,0.19249721902196368,0.012982950373279688,0.06214334125678219,0.09971795862576027,0.08210015425938828,1.0,0.011573953737225154,0.38082562648163915,0.177985156387739,0.20905111726658726,0.06902031631253899,0.381128789385777,0.02221335944890695,0.34459042983472143,0.019061149976615347,0.148693492908785,0.31339441963511283,0.12621964514883097,0.011738820223629924
subkind,0.2327299622335074,0.06655505694033685,0.5154041605183818,0.2573989513317431,0.2905282960495576,0.2799568579085642,0.29304428535363297,0.1408245412690901,0.011573953737225154,1.0,0.014677057361259856,0.05484289942254226,0.1712000861195211,0.21792911721601124,0.03788162198467767,0.029122716021704475,0.024319587253040367,0.09303729801111364,0.19993333945697503,0.069625075197064,0.02127201953606316,0.015348516573419874
