Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,creation,derivation,externalDependence,material,mediation,participation,none_r,other_r
category,1.0,0.187550692794346,0.12099669856174179,0.3108830254945271,-0.13103042399789433,0.3655768544057693,-0.09111525097017395,-0.08046425232819975,0.24566714211460575,0.24131550381689668,0.29943032777531786,0.2314942512317476,0.4343746947208622,0.2765488215635843,0.098101969286497,-0.1062922524413154,0.15044296223145173,0.1373753481688049,-0.06741095542358623,0.20648852491219077,0.18339878163006998,-0.07533604142901677
event,0.187550692794346,1.0,-0.20060414225941398,0.2785485830053243,0.1516187061376985,0.1893182585716584,0.18497940910008231,-0.011619558372945697,0.35643735136327986,0.14713698685024523,0.427452276529823,-0.0016034756832562593,0.3898123551541488,0.026744075675740983,0.6469917750059777,0.01006176365812417,0.42352432327600226,0.07737184922006864,0.10277386316497102,0.7934425497228884,0.16718059271571165,0.09965857421254426
kind,0.12099669856174179,-0.20060414225941398,1.0,0.09278341027395273,0.26808019891163054,0.24941917162566704,0.3722089129203546,0.32796168513494317,-0.205144031372889,0.5611623933887948,-0.32912149996668705,0.08577847076416296,0.006592558018338654,0.448941855941723,-0.1500761992975253,0.1985468326538458,-0.3355024410406376,0.2726393947644854,0.29925822204181574,-0.2137984444991815,0.10191564272266063,-0.010389186034522742
mode,0.3108830254945271,0.2785485830053243,0.09278341027395273,1.0,0.10544260019241247,0.3266148514909147,0.14509597279672667,0.2891716495207149,0.16611797975812206,0.33138421857272404,0.22586711971605977,0.18763829062941928,0.6087004599910806,0.18146241459568965,0.21799165877770235,-0.002734691246226371,0.41611926602058863,0.18170874428905542,0.19550700686817052,0.14705358432529197,0.16790435138897225,-0.06315589895911512
phase,-0.13103042399789433,0.1516187061376985,0.26808019891163054,0.10544260019241247,1.0,0.056242229585511616,0.3342642327779822,0.4234717449076839,0.013119035840194049,0.2773386272765773,-0.043251033847118696,-0.04694648077359792,0.08030205391099715,0.1839920471292821,0.10658813405141797,0.11282836173888852,-0.042223964040967114,0.17095035485476773,0.41562184285293574,0.02767320627708486,-0.04071035980281546,-0.058233841338801495
quality,0.3655768544057693,0.1893182585716584,0.24941917162566704,0.3266148514909147,0.056242229585511616,1.0,0.194065124031846,0.09282772961149365,0.05288722738034543,0.41757909174406455,0.1210021047048309,0.2782783119525674,0.6253192888457033,0.14867727622196292,0.010881043015454644,-0.08872966982825542,0.034465569920864,0.16164678805549063,0.11711604216731529,0.21043807591038033,-0.009804398476328321,-0.10564550799539994
relator,-0.09111525097017395,0.18497940910008231,0.3722089129203546,0.14509597279672667,0.3342642327779822,0.194065124031846,1.0,0.4093654270640787,0.10130770671189171,0.33663682957832575,0.005693619256996387,-0.13332589431548972,0.270181196361654,0.37774905987217705,0.15789403550893688,0.2693500019528944,0.07719760795779454,0.3647105682723584,0.8148077405323312,0.07308398441083816,-0.07557336547597553,-0.013246054460449127
role,-0.08046425232819975,-0.011619558372945697,0.32796168513494317,0.2891716495207149,0.4234717449076839,0.09282772961149365,0.4093654270640787,1.0,0.06903088530160878,0.22525027405146084,-0.17328903734505374,0.09379470943683095,0.13352882631279092,0.11214713194571795,0.004795637289796082,0.24008146268075184,0.11358629145641785,0.11102192430605398,0.5103009291972147,-0.17913266239805783,0.12198086840858129,-0.14426875856893162
roleMixin,0.24566714211460575,0.35643735136327986,-0.205144031372889,0.16611797975812206,0.013119035840194049,0.05288722738034543,0.10130770671189171,0.06903088530160878,1.0,-0.020113647131020783,0.4517867908528451,0.170135229912553,0.21780936572081797,0.053656089475054194,0.3936185657927254,0.025758567225007047,0.36990280299519385,-0.024330244523751272,0.14181987446026367,0.363807961649538,0.24623106664771385,0.050473152129875465
subkind,0.24131550381689668,0.14713698685024523,0.5611623933887948,0.33138421857272404,0.2773386272765773,0.41757909174406455,0.33663682957832575,0.22525027405146084,-0.020113647131020783,1.0,-0.005722930160221623,0.020480800977453216,0.2984809571679829,0.3246264244940139,0.0381239239828464,-0.038650566197832664,0.0157127739539207,0.20615329071433997,0.2674673224132509,0.08336487664627054,0.027037649414991607,-0.07532571025764986
