Stereotype,category,collective,datatype,enumeration,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none,other
category,1.0,0.0677003669900853,0.1737170693494679,-0.033580329420909646,0.12608051273365567,0.02490788528479557,0.25720429890439744,-0.2747100405717694,0.26931679849869083,-0.15546116824955628,-0.24500730469546123,0.21032761796553048,0.2836981914167497,0.0841738179268186,0.37742540648595435,0.12169233224391511,-0.07517064049950685
collective,0.0677003669900853,1.0,0.0651914017365953,0.09858889663986543,0.046880815155607845,0.2636654859997678,0.018378176730529994,0.29544893053380583,-0.08491572325453697,0.21129109501520976,0.10717631109285598,-0.0681202161701566,-0.28338973635754344,0.14258474195697632,0.017281349432781944,-0.08576464727703187,-0.03019881348413362
datatype,0.1737170693494679,0.0651914017365953,1.0,0.33099603254994125,0.09711668628005711,0.05517578249693359,-0.08045221420243387,-0.04406859887199481,0.11912571773643553,-0.08473526068122547,-0.2315838070068567,-0.042815086812384426,0.16784692796365555,-0.0041667882934784215,0.10699202366574824,0.1507012402958561,0.05465026824514262
enumeration,-0.033580329420909646,0.09858889663986543,0.33099603254994125,1.0,0.024452526856086287,0.23482227942739434,-0.10343964843711038,0.16943325898343503,0.05079266857118254,0.11694737579576446,0.05268600499390841,0.06802379598227117,0.036374740815880255,0.05750068257158487,0.14900737407953885,-0.09851470072639393,-0.09277308434038091
event,0.12608051273365567,0.046880815155607845,0.09711668628005711,0.024452526856086287,1.0,-0.2612253718620451,0.15579100140815727,0.03517921623050998,0.1625816436827522,0.0024653970711128134,-0.19873838449719824,0.3001749324269061,0.5423423372666527,-0.08578311740917446,0.3858218328712852,0.02162341037775417,-0.002907660754249659
kind,0.02490788528479557,0.2636654859997678,0.05517578249693359,0.23482227942739434,-0.2612253718620451,1.0,0.00038232507911349883,0.26186830768758496,0.15462713016169755,0.38737710282877197,0.26953218734218987,-0.259940591006207,-0.22036064970269129,0.5316050448921623,-0.2852924020037926,-0.07079142603055295,0.0990888199363079
mode,0.25720429890439744,0.018378176730529994,-0.08045221420243387,-0.10343964843711038,0.15579100140815727,0.00038232507911349883,1.0,-0.021371655527674435,0.25109844021213334,0.047881914906138454,0.11826515166278431,0.09626697711492459,-0.09134092924108823,0.12028303516527052,0.23864410423925403,0.09021917031997473,-0.17536574952738315
phase,-0.2747100405717694,0.29544893053380583,-0.04406859887199481,0.16943325898343503,0.03517921623050998,0.26186830768758496,-0.021371655527674435,1.0,0.0816684206738898,0.27476746026520144,0.3071508060572778,-0.10561489387804913,-0.10877164212289166,0.31109608418627405,-0.10799224056585448,-0.15950843877991394,0.13974276794745666
quality,0.26931679849869083,-0.08491572325453697,0.11912571773643553,0.05079266857118254,0.1625816436827522,0.15462713016169755,0.25109844021213334,0.0816684206738898,1.0,0.15550763103345835,0.0345069347575343,0.051339307206845146,0.1780785550800302,0.32872502540445914,0.1363913720202951,0.2543208123735237,-0.13520181010894505
relator,-0.15546116824955628,0.21129109501520976,-0.08473526068122547,0.11694737579576446,0.0024653970711128134,0.38737710282877197,0.047881914906138454,0.27476746026520144,0.15550763103345835,1.0,0.39017051135512554,0.14398136118560242,-0.23015965486963982,0.3452661497121996,-0.008020382606713493,-0.10323616668727256,-0.07606048836423178
role,-0.24500730469546123,0.10717631109285598,-0.2315838070068567,0.05268600499390841,-0.19873838449719824,0.26953218734218987,0.11826515166278431,0.3071508060572778,0.0345069347575343,0.39017051135512554,1.0,-0.015836285417061488,-0.2480462208764662,0.11174425014957845,-0.2247466387719817,-0.09581041077105923,0.057404967318968166
roleMixin,0.21032761796553048,-0.0681202161701566,-0.042815086812384426,0.06802379598227117,0.3001749324269061,-0.259940591006207,0.09626697711492459,-0.10561489387804913,0.051339307206845146,0.14398136118560242,-0.015836285417061488,1.0,0.22510794346302188,-0.14218440306742372,0.4105946605396519,0.04786255299138845,-0.1207397973801929
situation,0.2836981914167497,-0.28338973635754344,0.16784692796365555,0.036374740815880255,0.5423423372666527,-0.22036064970269129,-0.09134092924108823,-0.10877164212289166,0.1780785550800302,-0.23015965486963982,-0.2480462208764662,0.22510794346302188,1.0,-0.07360246410084875,0.14235968064710708,0.13135039976081514,0.13902639521497517
subkind,0.0841738179268186,0.14258474195697632,-0.0041667882934784215,0.05750068257158487,-0.08578311740917446,0.5316050448921623,0.12028303516527052,0.31109608418627405,0.32872502540445914,0.3452661497121996,0.11174425014957845,-0.14218440306742372,-0.07360246410084875,1.0,-0.09909529725902094,-0.1268122538673558,0.05393120459038164
type,0.37742540648595435,0.017281349432781944,0.10699202366574824,0.14900737407953885,0.3858218328712852,-0.2852924020037926,0.23864410423925403,-0.10799224056585448,0.1363913720202951,-0.008020382606713493,-0.2247466387719817,0.4105946605396519,0.14235968064710708,-0.09909529725902094,1.0,0.06990831156399455,-0.20278563412425918
none,0.12169233224391511,-0.08576464727703187,0.1507012402958561,-0.09851470072639393,0.02162341037775417,-0.07079142603055295,0.09021917031997473,-0.15950843877991394,0.2543208123735237,-0.10323616668727256,-0.09581041077105923,0.04786255299138845,0.13135039976081514,-0.1268122538673558,0.06990831156399455,1.0,0.07700759072997278
other,-0.07517064049950685,-0.03019881348413362,0.05465026824514262,-0.09277308434038091,-0.002907660754249659,0.0990888199363079,-0.17536574952738315,0.13974276794745666,-0.13520181010894505,-0.07606048836423178,0.057404967318968166,-0.1207397973801929,0.13902639521497517,0.05393120459038164,-0.20278563412425918,0.07700759072997278,1.0
