Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
abstract,1.0,0.14286783720813978,-0.06474359615547555,-0.05472934424388672,-0.02511878280602248,0.15607706006463132,-0.022342609604073006,0.5773154082006021,-0.15248159718451826,-0.04430979314554757,0.023247159603519547,-0.07594158256618568,0.3675562921301446,0.06901593373626748,-0.03005814219248857,-0.14217709605372136,-0.12481082726832875,0.13759257787434306,0.23623090820361056,-0.1376852878452525,0.22983430769179988,0.23011684044829334,-0.040474069535221625
category,0.14286783720813978,1.0,0.0722026420722048,0.14372304531480956,-0.10474993512512444,0.12376739780888364,0.0022345992552688858,0.09165671313246863,0.16515872085942257,0.04856861861425506,0.28147729008061956,-0.1253174309024781,0.11589292646784607,0.33220234916001334,-0.0035297490721311244,-0.1562700196909734,-0.093060349766694,0.20875333937426324,0.2738203221849882,0.2578100323965298,0.34957966704865373,0.18084982282918793,-0.07130690898175303
collective,-0.06474359615547555,0.0722026420722048,1.0,0.09449640746561987,0.024463145093073443,0.040429113654617946,0.08675707623713044,0.02455266787700337,0.2899765688439917,0.07214814101463221,0.1597121342185007,0.33657016699080705,0.03739657515805665,-0.021981985219102076,0.27376159415334084,0.28495794055071905,0.18541272272493164,-0.05465978823943885,-0.29210489371249293,0.1771234906715053,0.11412273252908466,-0.11738529803371804,-0.033562478743101753
datatype,-0.05472934424388672,0.14372304531480956,0.09449640746561987,1.0,0.25447142711295984,0.11391093551933257,0.01790067558968978,0.04302449239147854,0.1298798740094742,-0.0018589822139124562,0.0198381018111836,0.009692127304810456,0.12978173873776017,0.1290778099517064,0.14678337582274847,-0.0545109253991711,-0.08049577461278216,-0.03279704564646217,0.1132784807214851,0.07970944146471336,0.05262651215178146,0.09357498605691596,0.006974816718235856
enumeration,-0.02511878280602248,-0.10474993512512444,0.024463145093073443,0.25447142711295984,1.0,-0.0268541251994871,-0.05107094337476601,-0.043987763059122095,0.11551541992489964,-0.10128373438845416,-0.13809727734050495,0.09132236723471623,0.10525126004944618,-0.004222578799992418,0.10030821384400561,0.10292004488169687,-0.02185718181929893,0.0006077495366580069,0.011883591227861107,0.006464994998374523,0.10156365558797623,-0.10929936604796292,-0.09251600193572858
event,0.15607706006463132,0.12376739780888364,0.040429113654617946,0.11391093551933257,-0.0268541251994871,1.0,0.23574766862612115,0.24150746678450583,-0.17108678113957593,-0.12040219551054783,0.17698037811852155,0.13256006023307423,-0.03529150888390908,0.1836366752506888,0.26917963024678765,0.09280826955856832,-0.07564474154552263,0.3127613225790784,0.520390211915404,0.06229169329451991,0.3302555382474731,0.07342848049343359,-0.03445303812183288
historicalRole,-0.022342609604073006,0.0022345992552688858,0.08675707623713044,0.01790067558968978,-0.05107094337476601,0.23574766862612115,1.0,0.25750964701307666,-0.03574401324977349,-0.09008967329982615,-0.19765615063864617,-0.045695269906985685,-0.06569733394067546,-0.06923138068617765,0.5409354701722011,0.1619277056508268,0.057223368868860786,0.1172382790846909,0.21981494517236533,-0.05652352450339326,0.0419796604377125,0.03350172697898699,0.10004986388542053
historicalRoleMixin,0.5773154082006021,0.09165671313246863,0.02455266787700337,0.04302449239147854,-0.043987763059122095,0.24150746678450583,0.25750964701307666,1.0,-0.11888685956321149,-0.07759486982855497,-0.09916070246537156,-0.1329881454070782,0.3986361585660205,-0.06445320250044499,0.16559567682848658,-0.0854579278659297,-0.11740721658797046,0.1032230379350473,0.0818266258466496,-0.1077944239991009,0.36831828678358086,0.08026572817501976,-0.07087778872497362
kind,-0.15248159718451826,0.16515872085942257,0.2899765688439917,0.1298798740094742,0.11551541992489964,-0.17108678113957593,-0.03574401324977349,-0.11888685956321149,1.0,0.07271934713836682,0.14662019058928233,0.29529779521402344,-0.015696557288365342,0.26352694800275667,0.1237837560496773,0.32118548941912833,0.39243584332847203,-0.2497376049576103,-0.22674355717987787,0.6066346664020397,-0.2533279273769096,0.02988950755831834,0.010808345003184939
mixin,-0.04430979314554757,0.04856861861425506,0.07214814101463221,-0.0018589822139124562,-0.10128373438845416,-0.12040219551054783,-0.09008967329982615,-0.07759486982855497,0.07271934713836682,1.0,0.16202843942831555,0.1776793096736326,-0.033508392604908836,0.21784937136929855,-0.007541404012924486,0.0741870509745714,0.29946355602116437,0.09490064759554954,-0.12678098264776963,0.03740636348520522,0.05226765623448642,0.13096309147037732,-0.1631991860466403
