Construct Pair,Jaccard Similarity,Mutual Information
abstract - category,0.0,0.0
abstract - collective,0.0,0.0
abstract - datatype,0.0,0.0
abstract - enumeration,0.0,0.0
abstract - event,0.0,0.0
abstract - historicalRole,0.0,0.0
abstract - historicalRoleMixin,0.0,0.0
abstract - kind,0.0,0.0
abstract - mixin,0.0,0.0
abstract - mode,0.0,0.0
abstract - phase,0.0,0.0
abstract - phaseMixin,0.0,0.0
abstract - quality,0.0,0.0
abstract - quantity,0.0,0.0
abstract - relator,0.0,0.0
abstract - role,0.0,0.0
abstract - roleMixin,0.0,0.0
abstract - situation,0.0,0.0
abstract - subkind,0.0,0.0
abstract - type,0.0,0.0
category - collective,0.3181818181818182,0.5458173239703084
category - datatype,0.1818181818181818,0.3069510944751392
category - enumeration,0.0952380952380952,0.2901822709428289
category - event,0.391304347826087,0.7948633042612239
category - historicalRole,0.0,0.0
category - historicalRoleMixin,0.0,0.0
category - kind,0.6923076923076923,1.3748981233059092
category - mixin,0.3333333333333333,0.6271584930732639
category - mode,0.6,1.1240947706206097
category - phase,0.4,0.7534597691543616
category - phaseMixin,0.0,0.0
category - quality,0.0476190476190476,0.1042235416280219
category - quantity,0.1904761904761904,0.4855143170796584
category - relator,0.6,1.3011739954732182
category - role,0.6153846153846154,1.406045145707984
category - roleMixin,0.7,1.204732510673498
category - situation,0.0909090909090909,0.2187552437289561
category - subkind,0.7727272727272727,1.4080454241036482
category - type,0.3,0.6712685005170068
collective - datatype,0.3636363636363636,0.3788401059737183
collective - enumeration,0.0909090909090909,0.174245353520702
collective - event,0.1052631578947368,0.2227762283526431
collective - historicalRole,0.0,0.0
collective - historicalRoleMixin,0.0,0.0
collective - kind,0.32,0.5824552337248536
collective - mixin,0.3076923076923077,0.4624837677933234
collective - mode,0.4,0.589159497961913
collective - phase,0.2142857142857142,0.2856920126063151
collective - phaseMixin,0.0,0.0
collective - quality,0.0,0.0267596502945516
collective - quantity,0.2727272727272727,0.3311043735688748
collective - relator,0.3809523809523809,0.6701839068274806
collective - role,0.24,0.6794485493988057
collective - roleMixin,0.2777777777777778,0.5326151386415986
collective - situation,0.0833333333333333,0.1009535416581949
collective - subkind,0.2727272727272727,0.6038853595711859
collective - type,0.25,0.3890752194283523
datatype - enumeration,0.125,0.0982803724822837
datatype - event,0.2,0.2844469751948669
datatype - historicalRole,0.0,0.0
datatype - historicalRoleMixin,0.0,0.0
datatype - kind,0.25,0.3937792052697481
datatype - mixin,0.4,0.377686475282729
datatype - mode,0.2857142857142857,0.3633316662569235
datatype - phase,0.0769230769230769,0.1577712450262773
datatype - phaseMixin,0.0,0.0
datatype - quality,0.1428571428571428,0.0910692479351357
datatype - quantity,0.375,0.2458091647873928
datatype - relator,0.1304347826086956,0.3420370341576209
datatype - role,0.1666666666666666,0.4132090527204161
datatype - roleMixin,0.1111111111111111,0.2098595764343952
datatype - situation,0.25,0.1488329809172395
datatype - subkind,0.25,0.4635644158220322
datatype - type,0.2,0.2092189267249966
enumeration - event,0.0714285714285714,0.1383069271554071
enumeration - historicalRole,0.0,0.0
enumeration - historicalRoleMixin,0.0,0.0
enumeration - kind,0.125,0.2824040132718292
enumeration - mixin,0.2222222222222222,0.2417655467259555
enumeration - mode,0.1538461538461538,0.3150986823424154
enumeration - phase,0.1,0.1707047756213688
enumeration - phaseMixin,0.0,0.0
enumeration - quality,0.25,0.1525989420909432
enumeration - quantity,0.3333333333333333,0.3029015213472055
enumeration - relator,0.0952380952380952,0.2901822709428289
enumeration - role,0.1363636363636363,0.3145511748717359
enumeration - roleMixin,0.1333333333333333,0.2537095232498361
enumeration - situation,0.1666666666666666,0.1103188298136121
enumeration - subkind,0.1,0.2565827161606726
enumeration - type,0.125,0.1641266657541609
event - historicalRole,0.0,0.0
event - historicalRoleMixin,0.0,0.0
event - kind,0.3333333333333333,0.8348883004219444
event - mixin,0.25,0.4901445327012397
event - mode,0.4117647058823529,0.9304248995100942
event - phase,0.1764705882352941,0.4822264298205624
event - phaseMixin,0.0,0.0
event - quality,0.0769230769230769,0.1198097252845447
event - quantity,0.1333333333333333,0.25475428223018
event - relator,0.2307692307692307,0.9108997985731648
event - role,0.36,1.0752913775910573
event - roleMixin,0.4444444444444444,0.9879783956169774
event - situation,0.3333333333333333,0.4967963698504463
event - subkind,0.4090909090909091,1.095334695426878
event - type,0.2857142857142857,0.5725877210239618
historicalRole - historicalRoleMixin,0.0,0.0
historicalRole - kind,0.0,0.0
historicalRole - mixin,0.0,0.0
historicalRole - mode,0.0,0.0
historicalRole - phase,0.0,0.0
historicalRole - phaseMixin,0.0,0.0
historicalRole - quality,0.0,0.0
historicalRole - quantity,0.0,0.0
historicalRole - relator,0.0,0.0
historicalRole - role,0.0,0.0
historicalRole - roleMixin,0.0,0.0
historicalRole - situation,0.0,0.0
historicalRole - subkind,0.0,0.0
historicalRole - type,0.0,0.0
historicalRoleMixin - kind,0.0,0.0
historicalRoleMixin - mixin,0.0,0.0
historicalRoleMixin - mode,0.0,0.0
historicalRoleMixin - phase,0.0,0.0
historicalRoleMixin - phaseMixin,0.0,0.0
historicalRoleMixin - quality,0.0,0.0
historicalRoleMixin - quantity,0.0,0.0
historicalRoleMixin - relator,0.0,0.0
historicalRoleMixin - role,0.0,0.0
historicalRoleMixin - roleMixin,0.0,0.0
historicalRoleMixin - situation,0.0,0.0
historicalRoleMixin - subkind,0.0,0.0
historicalRoleMixin - type,0.0,0.0
kind - mixin,0.28,0.5300995922275736
kind - mode,0.44,0.9782980619171054
kind - phase,0.3333333333333333,0.6822221654198279
kind - phaseMixin,0.0,0.0
kind - quality,0.04,0.1349183100456788
kind - quantity,0.2083333333333333,0.4001725911853747
kind - relator,0.6296296296296297,1.2816785628508116
kind - role,0.7692307692307693,1.464113181308861
kind - roleMixin,0.4615384615384615,0.9155260404748328
