Stereotype,DistanceFromOrigin,Rank
role,54.18447373387403,1
subkind,39.85492418966683,2
relator,37.06575767996672,3
kind,33.409006454058535,4
category,22.284107580380763,5
roleMixin,17.635394363717886,6
mode,15.35888546293304,7
event,12.78599114500114,8
collective,9.274900603933276,9
phase,9.255843030331722,10
mixin,8.32692579661632,11
type,7.615304697525073,12
datatype,6.00990067007844,13
quantity,5.127854038410122,14
situation,4.017944292507454,15
enumeration,3.1030651104459706,16
quality,2.0239352539074744,17
abstract,0.0,18
historicalRole,0.0,18
historicalRoleMixin,0.0,18
phaseMixin,0.0,18
