Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none,other
category,1.0,0.12038716122979388,0.09258785810762381,0.026107230959983574,0.3338281286845494,0.043970931157487354,0.16397835819400053,0.018942268128349708,0.0024015453846513474,0.2952522942059666,0.268946972712669,0.3263696735994206,0.03240762165270246,0.04579565524902167
collective,0.12038716122979388,1.0,0.10257559008928518,0.17682944771912518,0.1856642121050017,0.24673814177421988,0.09388095139545416,0.20102465851909423,0.08657058694764547,0.008212793908831771,0.19713346163114798,0.09242612259054298,0.12338190004004208,0.0614052359332177
event,0.09258785810762381,0.10257559008928518,1.0,0.24223954323152092,0.16041433555519513,0.013811875212277188,0.1254270244645132,0.12527222262452709,0.1088570288400479,0.2534888367148261,0.0,0.3084465019481702,0.12003663333002995,0.1528498978897792
kind,0.026107230959983574,0.17682944771912518,0.24223954323152092,1.0,0.0577955886420678,0.26644151502436647,0.04696363407348144,0.25134790370542426,0.4297277111486872,0.170124633344288,0.4607443970238519,0.13596285264839258,0.05800261688274247,0.024801907537992076
mode,0.3338281286845494,0.1856642121050017,0.16041433555519513,0.0577955886420678,1.0,0.05694656578942059,0.12056133439967652,0.14573795525274683,0.11622562291430351,0.2702160855469416,0.15773621022485448,0.2997540942404891,0.12666485224661256,0.06433300568015982
phase,0.043970931157487354,0.24673814177421988,0.013811875212277188,0.26644151502436647,0.05694656578942059,1.0,0.09191221811805532,0.1255644250612694,0.28575654039307913,0.050321406233831086,0.334309388392447,0.027655596377797832,0.061135210718868564,0.0208518321036377
quality,0.16397835819400053,0.09388095139545416,0.1254270244645132,0.04696363407348144,0.12056133439967652,0.09191221811805532,1.0,0.12879153453293735,0.03541869917386528,0.015873021196337624,0.16607273736497088,0.1525910157716179,0.06912684413449535,0.17637955545147982
relator,0.018942268128349708,0.20102465851909423,0.12527222262452709,0.25134790370542426,0.14573795525274683,0.1255644250612694,0.12879153453293735,1.0,0.24924060235586723,0.18190228550015744,0.20341118311752807,0.07968479708194637,0.18973434346842194,0.09059222672421442
role,0.0024015453846513474,0.08657058694764547,0.1088570288400479,0.4297277111486872,0.11622562291430351,0.28575654039307913,0.03541869917386528,0.24924060235586723,1.0,0.048504122163690315,0.11130066602391314,0.031210356284014387,0.00586361375043333,0.02490220654215012
roleMixin,0.2952522942059666,0.008212793908831771,0.2534888367148261,0.170124633344288,0.2702160855469416,0.050321406233831086,0.015873021196337624,0.18190228550015744,0.048504122163690315,1.0,0.0,0.3382676374601386,0.1273237071580274,0.08630715157718107
subkind,0.268946972712669,0.19713346163114798,0.0,0.4607443970238519,0.15773621022485448,0.334309388392447,0.16607273736497088,0.20341118311752807,0.11130066602391314,0.0,1.0,0.05238500514061126,0.1422285083561096,0.07876446437316195
type,0.3263696735994206,0.09242612259054298,0.3084465019481702,0.13596285264839258,0.2997540942404891,0.027655596377797832,0.1525910157716179,0.07968479708194637,0.031210356284014387,0.3382676374601386,0.05238500514061126,1.0,0.11948442659029672,0.04481227831333097
none,0.03240762165270246,0.12338190004004208,0.12003663333002995,0.05800261688274247,0.12666485224661256,0.061135210718868564,0.06912684413449535,0.18973434346842194,0.00586361375043333,0.1273237071580274,0.1422285083561096,0.11948442659029672,1.0,0.1100474602763665
other,0.04579565524902167,0.0614052359332177,0.1528498978897792,0.024801907537992076,0.06433300568015982,0.0208518321036377,0.17637955545147982,0.09059222672421442,0.02490220654215012,0.08630715157718107,0.07876446437316195,0.04481227831333097,0.1100474602763665,1.0
