Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,characterization,componentOf,derivation,externalDependence,instantiation,material,mediation,participation
category,1.0,0.16198710742207031,0.13399140248020486,0.037980626868866794,0.22753540125716037,-0.23820272217849106,0.27244345893871974,-0.15242812694918745,-0.2071728250913787,0.21349657980983702,0.27134054305361566,0.08159511460455032,0.3637713400039956,0.38938659477276844,0.25797796121245914,-0.15491017861287432,0.15152292244082713,0.29132607963578216,0.06701008082725914,-0.13233632940850895,0.18272491584153677
datatype,0.16198710742207031,1.0,0.08781185633600828,0.039561756591948126,-0.0657453868644784,-0.06898264864458371,0.10786742893878934,-0.08546219875072317,-0.2472939923385908,-0.04521656152332192,0.1754102030788717,-0.007148438403026952,0.11378940763196137,-0.10445603273467656,0.16358307238433045,-0.04706458780944163,-0.045539456056783625,0.08998612447162012,0.058898545473653904,-0.026805484285735197,0.07831963161640042
event,0.13399140248020486,0.08781185633600828,1.0,-0.20833708397319356,0.1383985841908456,0.040452099814539545,0.21048550550737183,0.054845999513627154,-0.17750015475551678,0.24645555641059974,0.519903137860098,-0.023613120534687674,0.36474510229148477,0.27702459910862265,-0.02626745632650415,-0.01330219738137264,0.29669582807782635,0.37453741268707264,-0.048783993911879465,-0.032540122051895416,0.7550889517784977
kind,0.037980626868866794,0.039561756591948126,-0.20833708397319356,1.0,-0.018317195033651056,0.2710807562344187,0.18644932902853764,0.4018013441540947,0.2813041316191212,-0.264130201046061,-0.2268788374006673,0.5427478484698994,-0.29065301467862137,-0.044890205887869156,0.37520573450041567,0.062071565704658146,-0.26794639987956864,-0.2245859311705355,0.23535827566102951,0.25176467215636217,-0.2492563563386348
mode,0.22753540125716037,-0.0657453868644784,0.1383985841908456,-0.018317195033651056,1.0,-0.05305472459800826,0.22910852256613215,0.04163867002353209,0.07839805905126551,0.08375567034333632,-0.0772298139028277,0.11088088174551904,0.2483051036268581,0.5752778487856707,0.21959833211762883,-0.023711772742805236,0.3998606088959188,0.2134447297569504,0.13376072006430711,0.10106580880954959,0.024692469363899915
phase,-0.23820272217849106,-0.06898264864458371,0.040452099814539545,0.2710807562344187,-0.05305472459800826,1.0,0.086336074726295,0.2542187561033871,0.3437260643021576,-0.07864310218019699,-0.1258842372663247,0.29103422347377633,-0.1234754756278502,-0.031400113086874785,0.11916063980320808,0.03161852746767427,-0.16407310405249548,-0.07197872023238433,0.09626458969533042,0.3269220361593688,-0.11582819369342472
quality,0.27244345893871974,0.10786742893878934,0.21048550550737183,0.18644932902853764,0.22910852256613215,0.086336074726295,1.0,0.20170439242468827,0.03954358512868097,0.011995405142600436,0.1657406941903087,0.36731326606594883,0.12513085661869283,0.6239698453871515,0.12296801816993366,-0.18453061063178455,0.0470106567215789,0.149286309728383,0.09398041403689651,0.12430426619843611,0.2355400241251168
relator,-0.15242812694918745,-0.08546219875072317,0.054845999513627154,0.4018013441540947,0.04163867002353209,0.2542187561033871,0.20170439242468827,1.0,0.3609971042419954,0.0888664820979932,-0.2245119103642373,0.3831431379153233,-0.011614938000824462,0.16628933123770007,0.3427776331134576,0.12193714310838316,0.04057836046643945,0.0155430271846793,0.18691430414134605,0.7700029797169305,-0.03265362541369229
role,-0.2071728250913787,-0.2472939923385908,-0.17750015475551678,0.2813041316191212,0.07839805905126551,0.3437260643021576,0.03954358512868097,0.3609971042419954,1.0,0.0062456798749614606,-0.2581306009380535,0.10260333447539254,-0.23809424431610557,0.021184257617548857,0.07257153817904052,0.2059795437833902,0.06921053962960443,-0.220704941722592,-0.007880427213651764,0.44940732482300016,-0.31970110012424785
roleMixin,0.21349657980983702,-0.04521656152332192,0.24645555641059974,-0.264130201046061,0.08375567034333632,-0.07864310218019699,0.011995405142600436,0.0888664820979932,0.0062456798749614606,1.0,0.2145559826706451,-0.1784439774706017,0.3953641677270425,0.1731631814080602,0.0626308518670433,0.059095498055487805,0.40423266235527816,0.41981372321679006,-0.035113683342299855,0.1285270627591153,0.20385414061490273
situation,0.27134054305361566,0.1754102030788717,0.519903137860098,-0.2268788374006673,-0.0772298139028277,-0.1258842372663247,0.1657406941903087,-0.2245119103642373,-0.2581306009380535,0.2145559826706451,1.0,-0.07410742814027317,0.14655466260997527,0.17232131137121853,-0.003210315155485396,0.07855276374225362,0.046303873719275,0.16464242564606343,0.1390635570371018,-0.22134903781707102,0.4781659746715783
subkind,0.08159511460455032,-0.007148438403026952,-0.023613120534687674,0.5427478484698994,0.11088088174551904,0.29103422347377633,0.36731326606594883,0.3831431379153233,0.10260333447539254,-0.1784439774706017,-0.07410742814027317,1.0,-0.09978568259227953,0.17971504611767886,0.2855614991336252,-0.10979588902289707,-0.06274831547088379,-0.06332422232938277,0.18814742913088467,0.277707664215016,-0.07742641506579041
