Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,characterization,componentOf,derivation,material,mediation,memberOf
category,1.0,0.08404977220207888,-0.10527936095153946,0.13904693239779647,0.049844478627922684,0.14374722712498647,0.44047619047619047,0.3563483225498992,0.08773280079294955,0.0,0.08333333333333333,0.3939663084604233,-0.031943828249996996,0.5345224838248488,0.2807449625374386,0.36137247005243944,-0.049844478627922684,0.029695693545824933,0.22268343469578533,0.3105295017040594,0.029695693545824933
collective,0.08404977220207888,1.0,0.2615284308086944,-0.2954179256673254,0.01955061301297202,0.1942057042751279,0.37822397490935494,0.13977131156292244,0.034411635632722946,0.052414241836095915,0.08404977220207888,-0.14543651725160636,-0.21926450482675733,0.052414241836095915,0.034411635632722946,0.14174194434404716,0.14174194434404716,0.13977131156292244,0.03677626490259673,0.12179969144117253,0.7163279717599774
datatype,-0.10527936095153946,0.2615284308086944,1.0,0.05692855849765747,0.24488775998915044,0.3609647718302481,0.10527936095153946,0.06565321642986127,0.14655172413793102,-0.3282660821493064,-0.10527936095153946,-0.13093568454461219,0.10201178334333098,0.06565321642986129,-0.13793103448275862,0.1591770439929478,0.1591770439929478,0.06565321642986127,-0.10940519192990869,-0.15256428831468233,0.30638167667268595
event,0.13904693239779647,-0.2954179256673254,0.05692855849765747,1.0,-0.367905818213731,-0.02072789286028605,0.24333213169614382,-0.086710996952412,0.05692855849765747,-0.303488489333442,-0.24333213169614382,0.37969924812030076,0.49228745543179364,0.08671099695241201,0.2447928015399271,0.10107302698179423,-0.2991761598661109,-0.245681158031834,-0.06464298895333727,-0.16791512356486687,-0.086710996952412
kind,0.049844478627922684,0.01955061301297202,0.24488775998915044,-0.367905818213731,1.0,-0.08916451401205645,-0.049844478627922684,0.13987572123604705,-0.3612094459839969,-0.046625240412015684,0.4610614273082848,-0.23448942259776262,-0.2730663241619229,0.23312620206007845,-0.1591770439929478,-0.1391304347826087,0.29130434782608694,0.3108349360801046,0.531609533071195,-0.0601929265428846,-0.031083493608010458
mixin,0.14374722712498647,0.1942057042751279,0.3609647718302481,-0.02072789286028605,-0.08916451401205645,1.0,0.20763488362498048,0.45817096691151754,0.6199177603171653,-0.05976143046671969,0.31943828249996997,0.15027722323707385,0.05714285714285714,-0.05976143046671969,0.10201178334333098,0.2730663241619229,-0.09473729613780998,0.019920476822239894,0.005241424183609591,-0.04629100498862757,0.019920476822239894
mode,0.44047619047619047,0.37822397490935494,0.10527936095153946,0.24333213169614382,-0.049844478627922684,0.20763488362498048,1.0,0.2969569354582493,-0.08773280079294955,0.1336306209562122,0.047619047619047616,0.49825150775877064,-0.14374722712498647,0.40089186286863654,0.10527936095153946,0.32398911108149747,-0.0872278375988647,-0.029695693545824933,0.03516054232038716,0.19551857514700036,0.1336306209562122
phase,0.3563483225498992,0.13977131156292244,0.06565321642986127,-0.086710996952412,0.13987572123604705,0.45817096691151754,0.2969569354582493,1.0,0.06565321642986127,0.0,0.19302200804786204,0.231229325206432,0.019920476822239894,0.3333333333333333,0.06565321642986127,0.031083493608010458,0.031083493608010458,0.18518518518518517,0.10232343558582008,0.04303314829119352,-0.018518518518518517
quality,0.08773280079294955,0.034411635632722946,0.14655172413793102,0.05692855849765747,-0.3612094459839969,0.6199177603171653,-0.08773280079294955,0.06565321642986127,1.0,0.06565321642986129,0.08773280079294955,0.2447928015399271,0.3609647718302481,-0.13130643285972257,0.43103448275862066,0.3612094459839969,-0.24488775998915044,-0.1750752438129634,-0.29942473580817114,0.03390317518104052,-0.1750752438129634
relator,0.0,0.052414241836095915,-0.3282660821493064,-0.303488489333442,-0.046625240412015684,-0.05976143046671969,0.1336306209562122,0.0,0.06565321642986129,1.0,0.1336306209562122,0.21677749238103,-0.05976143046671969,-0.09090909090909091,0.06565321642986129,0.3263766828841098,-0.09325048082403137,0.3333333333333333,0.04385290096535146,0.6454972243679028,0.0
role,0.08333333333333333,0.08404977220207888,-0.10527936095153946,-0.24333213169614382,0.4610614273082848,0.31943828249996997,0.047619047619047616,0.19302200804786204,0.08773280079294955,0.1336306209562122,1.0,0.011587244366483038,-0.20763488362498048,0.0,0.08773280079294955,-0.049844478627922684,-0.049844478627922684,0.19302200804786204,0.3516054232038716,-0.06900655593423542,-0.1336306209562122
roleMixin,0.3939663084604233,-0.14543651725160636,-0.13093568454461219,0.37969924812030076,-0.23448942259776262,0.15027722323707385,0.49825150775877064,0.231229325206432,0.2447928015399271,0.21677749238103,0.011587244366483038,1.0,-0.02072789286028605,0.21677749238103,0.2447928015399271,0.23448942259776262,-0.2991761598661109,-0.245681158031834,-0.1901264380980508,0.20149814827784024,-0.245681158031834
situation,-0.031943828249996996,-0.21926450482675733,0.10201178334333098,0.49228745543179364,-0.2730663241619229,0.05714285714285714,-0.14374722712498647,0.019920476822239894,0.3609647718302481,-0.05976143046671969,-0.20763488362498048,-0.02072789286028605,1.0,-0.23904572186687875,0.10201178334333098,0.2730663241619229,-0.2786391062876764,0.019920476822239894,-0.1677255738755069,-0.04629100498862757,0.019920476822239894
subkind,0.5345224838248488,0.052414241836095915,0.06565321642986129,0.08671099695241201,0.23312620206007845,-0.05976143046671969,0.40089186286863654,0.3333333333333333,-0.13130643285972257,-0.09090909090909091,0.0,0.21677749238103,-0.23904572186687875,1.0,0.26261286571944514,0.046625240412015684,0.3263766828841098,0.0,0.30697030675746023,0.2581988897471611,-0.16666666666666666
type,0.2807449625374386,0.034411635632722946,-0.13793103448275862,0.2447928015399271,-0.1591770439929478,0.10201178334333098,0.10527936095153946,0.06565321642986127,0.43103448275862066,0.06565321642986129,0.08773280079294955,0.2447928015399271,0.10201178334333098,0.26261286571944514,1.0,-0.04285535799810133,-0.24488775998915044,-0.1750752438129634,0.08061435194835377,-0.15256428831468233,-0.1750752438129634
characterization,0.36137247005243944,0.14174194434404716,0.1591770439929478,0.10107302698179423,-0.1391304347826087,0.2730663241619229,0.32398911108149747,0.031083493608010458,0.3612094459839969,0.3263766828841098,-0.049844478627922684,0.23448942259776262,0.2730663241619229,0.046625240412015684,-0.04285535799810133,1.0,0.1391304347826087,0.20204270845206798,-0.12676842711697725,0.589890680120269,0.20204270845206798
componentOf,-0.049844478627922684,0.14174194434404716,0.1591770439929478,-0.2991761598661109,0.29130434782608694,-0.09473729613780998,-0.0872278375988647,0.031083493608010458,-0.24488775998915044,-0.09325048082403137,-0.049844478627922684,-0.2991761598661109,-0.2786391062876764,0.3263766828841098,-0.24488775998915044,0.1391304347826087,1.0,0.20204270845206798,0.14312564351916787,0.0601929265428846,0.20204270845206798
derivation,0.029695693545824933,0.13977131156292244,0.06565321642986127,-0.245681158031834,0.3108349360801046,0.019920476822239894,-0.029695693545824933,0.18518518518518517,-0.1750752438129634,0.3333333333333333,0.19302200804786204,-0.245681158031834,0.019920476822239894,0.0,-0.1750752438129634,0.20204270845206798,0.20204270845206798,1.0,0.5847053462046862,0.35860956909327935,0.18518518518518517
material,0.22268343469578533,0.03677626490259673,-0.10940519192990869,-0.06464298895333727,0.531609533071195,0.005241424183609591,0.03516054232038716,0.10232343558582008,-0.29942473580817114,0.04385290096535146,0.3516054232038716,-0.1901264380980508,-0.1677255738755069,0.30697030675746023,0.08061435194835377,-0.12676842711697725,0.14312564351916787,0.5847053462046862,1.0,0.1358732440973515,-0.05847053462046861
mediation,0.3105295017040594,0.12179969144117253,-0.15256428831468233,-0.16791512356486687,-0.0601929265428846,-0.04629100498862757,0.19551857514700036,0.04303314829119352,0.03390317518104052,0.6454972243679028,-0.06900655593423542,0.20149814827784024,-0.04629100498862757,0.2581988897471611,-0.15256428831468233,0.589890680120269,0.0601929265428846,0.35860956909327935,0.1358732440973515,1.0,0.20082135869223644
