construct,x_value,y_value,quadrant
bringsAbout,30,0.0062998740025199,Q3
characterization,558,0.117177656446871,Q1
comparative,37,0.0077698446031079,Q3
componentOf,551,0.115707685846283,Q1
creation,60,0.0125997480050399,Q1
derivation,219,0.0459890802183956,Q1
externalDependence,77,0.0161696766064678,Q1
historicalDependence,44,0.0092398152036959,Q3
instantiation,69,0.0144897102057958,Q1
manifestation,34,0.0071398572028559,Q3
material,623,0.1308273834523309,Q1
mediation,1967,0.4130617387652247,Q1
memberOf,203,0.0426291474170516,Q1
participation,211,0.0443091138177236,Q1
participational,17,0.0035699286014279,Q3
subCollectionOf,27,0.0056698866022679,Q3
subQuantityOf,14,0.0029399412011759,Q3
termination,5,0.0010499790004199,Q3
triggers,16,0.0033599328013439,Q3
