Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type
abstract,,,,,,,,,,,,,,,,,,,,,
category,,1.0,0.1080849921254302,-0.0224739568065682,-0.2676528779435917,0.14509055051458614,,,0.32569829920883336,0.19562300053450848,0.3525488312669209,0.36853235832580133,,0.13237970826002513,0.028991414245340692,-0.02446608718327483,0.04217153953047407,0.30152792387310445,-0.04266395305449301,0.562274160459184,0.2920095874258828
collective,,0.1080849921254302,1.0,0.30246826569823776,-0.16248803014016466,-0.30363709767624036,,,0.10801839525338089,0.1889685263346267,0.31345676234753095,0.10779605007350522,,0.01980177799483615,0.04830091516432023,-0.08645418872078049,-0.12204579034463567,-0.06836851422450387,-0.2166769017494549,0.09232298644837328,0.019806925993881872
datatype,,-0.0224739568065682,0.30246826569823776,1.0,0.20358802778087365,-0.048834763066043244,,,0.20636114533318278,0.37638602859268006,0.06041731468409291,0.07975490753402457,,0.12061346911263386,0.5150274781162014,-0.2839053098523537,-0.06554836551521918,-0.18626770957634775,0.10047648580289756,0.2109635923406677,-0.1372854914196568
enumeration,,-0.2676528779435917,-0.16248803014016466,0.20358802778087365,1.0,-0.08212846457799419,,,0.06347896499217123,0.16813521375776824,0.05134911150406278,-0.1479056520636036,,0.2138743426862941,0.3116185359301545,0.03253782439101612,0.02563318264871004,-0.07385487917419463,0.19612847901968922,-0.042529895418752156,-0.1170114063878461
event,,0.14509055051458614,-0.30363709767624036,-0.048834763066043244,-0.08212846457799419,1.0,,,-0.28655142997410527,-0.005669464851583312,0.20150493461570915,-0.024857110223893225,,0.050460394982251036,0.13911556244843915,-0.4522765894692823,0.03558810826065272,0.38787794080880905,0.39366827852477126,0.07798952834801867,0.3874006036514303
historicalRole,,,,,,,,,,,,,,,,,,,,,
historicalRoleMixin,,,,,,,,,,,,,,,,,,,,,
kind,,0.32569829920883336,0.10801839525338089,0.20636114533318278,0.06347896499217123,-0.28655142997410527,,,1.0,-0.08807585741231216,0.06989094946553404,-0.0020191287227131352,,-0.34913578650378857,0.02722958283846487,0.12836563769631845,0.43847374930306227,-0.3676878728021839,-0.3547081984960854,0.4629024663872307,-0.0170719670304665
mixin,,0.19562300053450848,0.1889685263346267,0.37638602859268006,0.16813521375776824,-0.005669464851583312,,,-0.08807585741231216,1.0,0.14834376978690927,0.47476493874181985,,0.5859682951558117,0.4766969580460245,-0.020853639153006524,0.2289229071882571,0.11385243771838946,0.06349553293174254,-0.026240938151365953,0.07101623180993963
mode,,0.3525488312669209,0.31345676234753095,0.06041731468409291,0.05134911150406278,0.20150493461570915,,,0.06989094946553404,0.14834376978690927,1.0,0.19932421777028472,,-0.13243866129977294,0.19139214287877945,-0.02122767272027669,0.08529895846407931,0.472407934466511,-0.13383507647907986,0.15237779806032026,0.1263115530789251
phase,,0.36853235832580133,0.10779605007350522,0.07975490753402457,-0.1479056520636036,-0.024857110223893225,,,-0.0020191287227131352,0.47476493874181985,0.19932421777028472,1.0,,0.02365739362469855,0.3446151893199114,-0.0010158928783214987,0.2852404295311773,0.25308016833182595,-0.001992236163005431,0.20168278778929075,0.023663543993611685
phaseMixin,,,,,,,,,,,,,,,,,,,,,
quality,,0.13237970826002513,0.01980177799483615,0.12061346911263386,0.2138743426862941,0.050460394982251036,,,-0.34913578650378857,0.5859682951558117,-0.13243866129977294,0.02365739362469855,,1.0,0.2138743426862941,0.048209175421977016,-0.11865256780537187,0.3009041326369817,0.3899837935127285,-0.07875133994297498,0.38835457511697197
quantity,,0.028991414245340692,0.04830091516432023,0.5150274781162014,0.3116185359301545,0.13911556244843915,,,0.02722958283846487,0.4766969580460245,0.19139214287877945,0.3446151893199114,,0.2138743426862941,1.0,0.0575405736599022,0.3334034092161078,-0.018463719793548657,0.5064413465097455,-0.10255192524360399,-0.1170114063878461
relator,,-0.02446608718327483,-0.08645418872078049,-0.2839053098523537,0.03253782439101612,-0.4522765894692823,,,0.12836563769631845,-0.020853639153006524,-0.02122767272027669,-0.0010158928783214987,,0.048209175421977016,0.0575405736599022,1.0,0.30900479500838673,0.17110975630315198,-0.0654945707677099,-0.17998968120765485,-0.07459295561407382
role,,0.04217153953047407,-0.12204579034463567,-0.06554836551521918,0.02563318264871004,0.03558810826065272,,,0.43847374930306227,0.2289229071882571,0.08529895846407931,0.2852404295311773,,-0.11865256780537187,0.3334034092161078,0.30900479500838673,1.0,-0.006019570602691629,-0.105986239332524,-0.026972547496473175,0.1030910783276311
roleMixin,,0.30152792387310445,-0.06836851422450387,-0.18626770957634775,-0.07385487917419463,0.38787794080880905,,,-0.3676878728021839,0.11385243771838946,0.472407934466511,0.25308016833182595,,0.3009041326369817,-0.018463719793548657,0.17110975630315198,-0.006019570602691629,1.0,0.09923117754779888,0.07972174411368303,0.36432979318016917
situation,,-0.04266395305449301,-0.2166769017494549,0.10047648580289756,0.19612847901968922,0.39366827852477126,,,-0.3547081984960854,0.06349553293174254,-0.13383507647907986,-0.001992236163005431,,0.3899837935127285,0.5064413465097455,-0.0654945707677099,-0.105986239332524,0.09923117754779888,1.0,-0.19552396335184635,0.11702555405278657
subkind,,0.562274160459184,0.09232298644837328,0.2109635923406677,-0.042529895418752156,0.07798952834801867,,,0.4629024663872307,-0.026240938151365953,0.15237779806032026,0.20168278778929075,,-0.07875133994297498,-0.10255192524360399,-0.17998968120765485,-0.026972547496473175,0.07972174411368303,-0.19552396335184635,1.0,0.12449568217528674
type,,0.2920095874258828,0.019806925993881872,-0.1372854914196568,-0.1170114063878461,0.3874006036514303,,,-0.0170719670304665,0.07101623180993963,0.1263115530789251,0.023663543993611685,,0.38835457511697197,-0.1170114063878461,-0.07459295561407382,0.1030910783276311,0.36432979318016917,0.11702555405278657,0.12449568217528674,1.0
