Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type
category,1.0,0.06031264860167887,0.09900850411590917,0.07718787941156484,-0.0314176459735234,0.11422077114837663,0.32693714368563326,0.05549995384239127,0.21145371978354383,-0.027685680959293645,-0.02412250323156646,0.24636747474059953,0.1741604160333161,0.277059842133645,0.22739045416812786
collective,0.06031264860167887,1.0,0.1069601965013415,-0.042110078007650306,0.10616027076679957,0.08726171906745601,0.14051468135184364,0.3197138373318457,-0.035043512883442124,0.1725857907548317,0.07148500248789123,-0.05502983910768428,-0.26925257194119334,0.21340236413878144,0.022673900795047858
datatype,0.09900850411590917,0.1069601965013415,1.0,0.08867904797314587,0.12657360679396967,-0.003979675956138828,-0.00849054714636503,0.03570543852386148,0.1849848343095233,-0.1497256426346782,-0.04396276048243433,-0.07665133793180054,0.1942329269096203,0.059218746371636245,0.06997211031526694
event,0.07718787941156484,-0.042110078007650306,0.08867904797314587,1.0,-0.26039041205418356,-0.08620109117803146,0.17126436781609194,0.019472894418922294,0.09326247831276857,-0.16405103605275953,-0.1532691082910326,0.26489926611666026,0.5399392480033207,-0.03848092617356855,0.2876082927204621
kind,-0.0314176459735234,0.10616027076679957,0.12657360679396967,-0.26039041205418356,1.0,-0.0060799708882683465,0.03651230870132463,0.2685897308059408,0.050975028352662606,0.1667583168602729,0.4769422704382245,-0.1920222610610064,-0.2094999344732895,0.38758622797680914,-0.27277997333179044
mixin,0.11422077114837663,0.08726171906745601,-0.003979675956138828,-0.08620109117803146,-0.0060799708882683465,1.0,0.13576671860539954,0.20915121308217663,0.21688791195008505,0.04982714649866149,0.23808772588098065,0.10549337861748301,-0.05442816368295633,-0.03823000313386505,0.08749844035108169
mode,0.32693714368563326,0.14051468135184364,-0.00849054714636503,0.17126436781609194,0.03651230870132463,0.13576671860539954,1.0,0.14749681730077313,0.21641677659757835,0.1513644225980128,0.0946898155934128,0.26489926611666026,-0.06565504467553991,0.17692860621108147,0.1866759106073187
phase,0.05549995384239127,0.3197138373318457,0.03570543852386148,0.019472894418922294,0.2685897308059408,0.20915121308217663,0.14749681730077313,1.0,0.09611011926613733,0.08893623036166641,0.20261953153137838,0.01547266298842166,-0.03920741242639778,0.37405576884240765,-0.03920741242639778
quality,0.21145371978354383,-0.035043512883442124,0.1849848343095233,0.09326247831276857,0.050975028352662606,0.21688791195008505,0.21641677659757835,0.09611011926613733,1.0,0.19158495774239231,0.13898473496527455,0.09614344651694866,0.22884490395544435,0.11138565323217431,0.28134161911671557
relator,-0.027685680959293645,0.1725857907548317,-0.1497256426346782,-0.16405103605275953,0.1667583168602729,0.04982714649866149,0.1513644225980128,0.08893623036166641,0.19158495774239231,1.0,0.14934720007463276,0.1638144885877078,-0.12699229654858,0.119394938089739,-0.12699229654858
role,-0.02412250323156646,0.07148500248789123,-0.04396276048243433,-0.1532691082910326,0.4769422704382245,0.23808772588098065,0.0946898155934128,0.20261953153137838,0.13898473496527455,0.14934720007463276,1.0,0.01133913667666826,-0.1872785087036008,0.03635528524021975,-0.13443005282285866
roleMixin,0.24636747474059953,-0.05502983910768428,-0.07665133793180054,0.26489926611666026,-0.1920222610610064,0.10549337861748301,0.26489926611666026,0.01547266298842166,0.09614344651694866,0.1638144885877078,0.01133913667666826,1.0,0.11473131694781576,0.010132103595741548,0.2675415623653807
situation,0.1741604160333161,-0.26925257194119334,0.1942329269096203,0.5399392480033207,-0.2094999344732895,-0.05442816368295633,-0.06565504467553991,-0.03920741242639778,0.22884490395544435,-0.12699229654858,-0.1872785087036008,0.11473131694781576,1.0,-0.1358611278909479,0.09649122807017543
subkind,0.277059842133645,0.21340236413878144,0.059218746371636245,-0.03848092617356855,0.38758622797680914,-0.03823000313386505,0.17692860621108147,0.37405576884240765,0.11138565323217431,0.119394938089739,0.03635528524021975,0.010132103595741548,-0.1358611278909479,1.0,-0.025674543853407478
type,0.22739045416812786,0.022673900795047858,0.06997211031526694,0.2876082927204621,-0.27277997333179044,0.08749844035108169,0.1866759106073187,-0.03920741242639778,0.28134161911671557,-0.12699229654858,-0.13443005282285866,0.2675415623653807,0.09649122807017543,-0.025674543853407478,1.0
