Stereotype,x_value,y_value,quadrant
bringsAbout,30,0.0308483290488431,Q3
characterization,400,0.1465295629820051,Q1
comparative,22,0.0128534704370179,Q3
componentOf,233,0.0822622107969151,Q1
creation,60,0.0462724935732647,Q1
derivation,106,0.0771208226221079,Q1
externalDependence,69,0.0514138817480719,Q1
historicalDependence,44,0.0411311053984575,Q3
instantiation,69,0.0437017994858611,Q1
manifestation,34,0.0308483290488431,Q3
material,325,0.0976863753213367,Q1
mediation,641,0.1593830334190231,Q1
memberOf,73,0.0539845758354755,Q1
participation,207,0.0719794344473007,Q1
participational,17,0.0102827763496143,Q3
subCollectionOf,8,0.0051413881748071,Q3
subQuantityOf,11,0.0051413881748071,Q3
termination,5,0.0077120822622107,Q3
triggers,16,0.0257069408740359,Q3
