Stereotype,Stereotype2,Absolute Value,Sign,Classification
componentOf,characterization,0.3049634689455515,positive,weak
derivation,characterization,0.2599734734478726,positive,weak
formal,characterization,0.27230724295894376,positive,weak
material,characterization,0.07299963950884314,positive,very_weak
mediation,characterization,0.6262025468086422,positive,strong
memberOf,characterization,0.3865006029094686,positive,weak
subCollectionOf,characterization,0.08017837257372731,positive,very_weak
none,characterization,0.19102329436458523,positive,very_weak
other,characterization,0.5677277647031319,positive,moderate
characterization,componentOf,0.3049634689455515,positive,weak
derivation,componentOf,0.345903960984675,positive,weak
formal,componentOf,0.2345787158142091,positive,weak
material,componentOf,0.334267617062936,positive,weak
mediation,componentOf,0.24935216268401741,positive,weak
memberOf,componentOf,0.46046933104270676,positive,moderate
subCollectionOf,componentOf,0.23350056858164248,positive,weak
none,componentOf,0.22227711223719354,negative,weak
other,componentOf,0.16179473487071222,positive,very_weak
characterization,derivation,0.2599734734478726,positive,weak
componentOf,derivation,0.345903960984675,positive,weak
formal,derivation,0.49913718658749795,positive,moderate
material,derivation,0.6024752331287779,positive,strong
mediation,derivation,0.4258672210719905,positive,moderate
memberOf,derivation,0.37190613902597885,positive,weak
subCollectionOf,derivation,0.38214458357880815,positive,weak
none,derivation,0.07511746287542015,negative,very_weak
other,derivation,0.3752393871932282,positive,weak
characterization,formal,0.27230724295894376,positive,weak
componentOf,formal,0.2345787158142091,positive,weak
derivation,formal,0.49913718658749795,positive,moderate
material,formal,0.2393949488198693,positive,weak
mediation,formal,0.3943307832364571,positive,weak
memberOf,formal,0.5185185185185185,positive,moderate
subCollectionOf,formal,0.3239757976459313,positive,weak
none,formal,0.33164555877539403,negative,weak
other,formal,0.29414729940092255,positive,weak
characterization,material,0.07299963950884314,positive,very_weak
componentOf,material,0.334267617062936,positive,weak
derivation,material,0.6024752331287779,positive,strong
formal,material,0.2393949488198693,positive,weak
mediation,material,0.2849614140875866,positive,weak
memberOf,material,0.2393949488198693,positive,weak
subCollectionOf,material,0.1777575437524446,positive,very_weak
none,material,0.010936965981495178,negative,very_weak
other,material,0.318439175937776,positive,weak
characterization,mediation,0.6262025468086422,positive,strong
componentOf,mediation,0.24935216268401741,positive,weak
derivation,mediation,0.4258672210719905,positive,moderate
formal,mediation,0.3943307832364571,positive,weak
material,mediation,0.2849614140875866,positive,weak
memberOf,mediation,0.3943307832364571,positive,weak
subCollectionOf,mediation,0.14345114601325779,positive,very_weak
none,mediation,0.10965861582662816,negative,very_weak
other,mediation,0.2629368792488718,positive,weak
characterization,memberOf,0.3865006029094686,positive,weak
componentOf,memberOf,0.46046933104270676,positive,moderate
derivation,memberOf,0.37190613902597885,positive,weak
formal,memberOf,0.5185185185185185,positive,moderate
material,memberOf,0.2393949488198693,positive,weak
mediation,memberOf,0.3943307832364571,positive,weak
subCollectionOf,memberOf,0.50709255283711,positive,moderate
none,memberOf,0.33164555877539403,negative,weak
other,memberOf,0.29414729940092255,positive,weak
characterization,subCollectionOf,0.08017837257372731,positive,very_weak
componentOf,subCollectionOf,0.23350056858164248,positive,weak
derivation,subCollectionOf,0.38214458357880815,positive,weak
formal,subCollectionOf,0.3239757976459313,positive,weak
material,subCollectionOf,0.1777575437524446,positive,very_weak
mediation,subCollectionOf,0.14345114601325779,positive,very_weak
memberOf,subCollectionOf,0.50709255283711,positive,moderate
none,subCollectionOf,0.32433748657040123,negative,weak
other,subCollectionOf,0.21602468994692867,positive,weak
characterization,none,0.19102329436458523,positive,very_weak
componentOf,none,0.22227711223719354,negative,weak
derivation,none,0.07511746287542015,negative,very_weak
formal,none,0.33164555877539403,negative,weak
material,none,0.010936965981495178,negative,very_weak
mediation,none,0.10965861582662816,negative,very_weak
memberOf,none,0.33164555877539403,negative,weak
subCollectionOf,none,0.32433748657040123,negative,weak
other,none,0.06487491201346025,positive,very_weak
characterization,other,0.5677277647031319,positive,moderate
componentOf,other,0.16179473487071222,positive,very_weak
derivation,other,0.3752393871932282,positive,weak
formal,other,0.29414729940092255,positive,weak
material,other,0.318439175937776,positive,weak
mediation,other,0.2629368792488718,positive,weak
memberOf,other,0.29414729940092255,positive,weak
subCollectionOf,other,0.21602468994692867,positive,weak
none,other,0.06487491201346025,positive,very_weak
