Stereotype,DistanceFromOrigin,Rank
subkind,1007.0002792948967,1
kind,912.0003840438991,2
role,409.0005552059681,3
event,346.000287002569,4
relator,342.000870731765,5
category,297.000866413355,6
mode,265.0004716976934,7
roleMixin,265.0003566713011,8
quality,242.00043060312578,9
phase,197.0003265544778,10
datatype,78.0003029415861,11
type,77.00030687587684,12
situation,68.00025106286355,13
collective,67.00059602477323,14
enumeration,40.00003692106046,15
historicalRole,23.000041094727813,16
phaseMixin,20.000189035023467,17
mixin,17.00068107164566,18
quantity,11.000263143441284,19
historicalRoleMixin,9.000059073530137,20
abstract,1.0000590719792581,21
