model_id,count
abrahao2018agriculture-operations,22
aguiar2018rdbs-o,43
aguiar2019ooco,56
aires2022valuenetworks-geo,22
alkhalaf2024,148
alpinebits2022,78
amaral2019rot,48
amaral2020game-theory,22
amaral2020rome,48
amaral2022ethical-requirements,24
andersson2018value-ascription,13
andrade2023integracao,44
aristotle-ontology2019,182
barcelos2024resiliont,56
barros2020programming,12
bernasconi2021ontovcm,76
bernasconi2023fair-principles,46
buchtela2020connection,19
buridan-ontology2021,54
cgts2021sebim,29
core-o2023,30
dcat-mlt-ufo2023,30
demori2023miscon,31
derave2019dpo,259
duarte2020jogabilidade,19
elghosh2020cargos,10
elghosh2024eucaim,38
elikan2018brand-identity,30
eu-rent-refactored2022,66
falduci2022non-consensual-pornography,27
fernandez-cejas2022curie-o,29
fischer2018ontorea,18
fonseca2022incorporating,51
formula-one2023,26
fraller2019abc,39
franco2018rpg,23
fumagalli2022criminal-investigation,10
garcia2022human-genome-events,15
gomes2022digital-technology,19
goncalves2011ecg,133
guarino2018rea,11
guizzardi2020decision-making,54
guizzardi2022ufo,62
haridy2021egyptian-e-government,32
heirbrant2023boekbazaar,42
jacobs2022sdpontology,34
junior2018o4c,11
khantong2020ontology,30
kritz2020ontobg,179
laurier2018rea,23
lindeberg2022full-ontorights,190
lindeberg2022simple-ontorights,61
machacova2023gym,41
maddalena2021ontocovid,74
moreira2018saref4health,19
nascimento2023spacecon,18
neves2020nwpontology,35
neves2021grain-production,18
niederkofler2019dssapple,68
oliveira2022rose,63
pereira2020ontotrans,35
piest2024dsr-kb,84
pinheiro2024api,28
plato-ontology2019,73
porello2020coex,17
ppo-o2021,59
public-expense-ontology2020,42
ramos2021bias,49
repa2021public-administration,25
rocha2023ciencia-aberta,24
rodrigues2019ontocrime,106
rodrigues2019turbidite,69
romanenko2023what,55
sales2018competition,27
sales2018cover,63
santos2020valuenetworks,15
sariev2024maritime,83
schoonderbeek2024eamon,47
sikora2021online-education,65
silva2021sebim,42
silva2023onto4caal,193
silva2023onto4elev,197
silveira2021oap,32
spmo2017,34
tesolin2023hint,38
valaski2020medical-appointment,7
van-ee2021modular,100
van-wingerde2020smart-contracts,39
vieira2020weathering,39
weigand2021artifact,52
xhani2023xmlpo,119
zanetti2019orm-o,34
