Stereotype,DistanceFromOrigin,Rank
subkind,16.734818880615663,1
role,15.263728968833732,2
kind,13.13398924100997,3
relator,10.333189752625572,4
category,4.8621457934841725,5
roleMixin,4.7812042353683895,6
mode,4.5131307488791395,7
event,3.9417675717084464,8
phase,2.7646450174050963,9
quality,2.106011508777708,10
type,1.7733965871255273,11
collective,1.1286061283327855,12
datatype,0.7583517188069067,13
mixin,0.7176295321022285,14
situation,0.6755661262044895,15
enumeration,0.5248421920432208,16
quantity,0.3769174959005414,17
historicalRole,0.19293582694097103,18
phaseMixin,0.1780219770953555,19
historicalRoleMixin,0.07840357835128212,20
abstract,0.011687715391513104,21
