Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,derivation,material,mediation,memberOf,none_r,other_r
category,1.0,0.09258785810762381,0.026107230959983574,0.3338281286845494,0.043970931157487354,0.16397835819400053,0.018942268128349708,0.0024015453846513474,0.2952522942059666,0.268946972712669,0.3263696735994206,0.03240762165270246,0.36150098975265316,0.28077242262909613,0.014040689292569238,0.15322762062977804,0.09127207052642952,0.07979517884637764,0.12843595252329504,0.05980822398674461
event,0.09258785810762381,1.0,0.24223954323152092,0.16041433555519513,0.013811875212277188,0.1254270244645132,0.12527222262452709,0.1088570288400479,0.2534888367148261,0.0,0.3084465019481702,0.12003663333002995,0.17255793394997707,0.12975790404841475,0.0538553282414112,0.01699049857421853,0.08947197079661033,0.00563718690624813,0.2422817996768046,0.1116219667122329
kind,0.026107230959983574,0.24223954323152092,1.0,0.0577955886420678,0.26644151502436647,0.04696363407348144,0.25134790370542426,0.4297277111486872,0.170124633344288,0.4607443970238519,0.13596285264839258,0.05800261688274247,0.003598613147529351,0.2786501741300467,0.23373442741793862,0.36074260946264874,0.25018444761749464,0.1845683700027961,0.05397640192253148,0.062385567595304385
mode,0.3338281286845494,0.16041433555519513,0.0577955886420678,1.0,0.05694656578942059,0.12056133439967652,0.14573795525274683,0.11622562291430351,0.2702160855469416,0.15773621022485448,0.2997540942404891,0.12666485224661256,0.5276742432346062,0.2143752572542955,0.04033391600006678,0.15340765392587064,0.24157511836755335,0.24499655993414332,0.06892689671334984,0.06090666045676049
phase,0.043970931157487354,0.013811875212277188,0.26644151502436647,0.05694656578942059,1.0,0.09191221811805532,0.1255644250612694,0.28575654039307913,0.050321406233831086,0.334309388392447,0.027655596377797832,0.061135210718868564,0.020465689530439195,0.1432602718938973,0.1355115010748132,0.12393426465790883,0.23040005830496607,0.14691521409238584,0.08180352005750904,0.0651593404742519
quality,0.16397835819400053,0.1254270244645132,0.04696363407348144,0.12056133439967652,0.09191221811805532,1.0,0.12879153453293735,0.03541869917386528,0.015873021196337624,0.16607273736497088,0.1525910157716179,0.06912684413449535,0.5261798238218742,0.04758137562503748,0.11949009723924768,0.05162062489623897,0.10853376385244266,0.19325371733675603,0.05810980424224256,0.12335143001963655
relator,0.018942268128349708,0.12527222262452709,0.25134790370542426,0.14573795525274683,0.1255644250612694,0.12879153453293735,1.0,0.24924060235586723,0.18190228550015744,0.20341118311752807,0.07968479708194637,0.18973434346842194,0.24985248445657102,0.1801213206479246,0.30683374176163913,0.2550659627785075,0.7138316036759995,0.2375841649645316,0.07109565242898722,0.14867969724197302
role,0.0024015453846513474,0.1088570288400479,0.4297277111486872,0.11622562291430351,0.28575654039307913,0.03541869917386528,0.24924060235586723,1.0,0.048504122163690315,0.11130066602391314,0.031210356284014387,0.00586361375043333,0.027313061188653072,0.03513657377929402,0.20406751505518209,0.1598477248877957,0.2177844936538455,0.11509436531977818,0.014205563510766626,0.037978241566938756
roleMixin,0.2952522942059666,0.2534888367148261,0.170124633344288,0.2702160855469416,0.050321406233831086,0.015873021196337624,0.18190228550015744,0.048504122163690315,1.0,0.0,0.3382676374601386,0.1273237071580274,0.20125182593546853,0.07004907811950949,0.063044530841655,0.0,0.21630353255610157,0.08120149056085058,0.09076847859015653,0.1552395969593724
subkind,0.268946972712669,0.0,0.4607443970238519,0.15773621022485448,0.334309388392447,0.16607273736497088,0.20341118311752807,0.11130066602391314,0.0,1.0,0.05238500514061126,0.1422285083561096,0.08993038927464948,0.28042312066025143,0.011567762991767252,0.19916992244449244,0.2304949180798526,0.1745873259052089,0.06605515144686695,0.04044871097536439
type,0.3263696735994206,0.3084465019481702,0.13596285264839258,0.2997540942404891,0.027655596377797832,0.1525910157716179,0.07968479708194637,0.031210356284014387,0.3382676374601386,0.05238500514061126,1.0,0.11948442659029672,0.2761885062834566,0.18886795057441044,0.14419950831371195,0.025755528534167186,0.07570821262415396,0.0988508755967895,0.09879885536938979,0.15063622370007926
none_c,0.03240762165270246,0.12003663333002995,0.05800261688274247,0.12666485224661256,0.061135210718868564,0.06912684413449535,0.18973434346842194,0.00586361375043333,0.1273237071580274,0.1422285083561096,0.11948442659029672,1.0,0.01677946194717555,0.022073704662875233,0.02236390165164923,0.08964335833549289,0.055043250998266194,0.07261376491486247,0.18060521032175603,0.020832703690777325
characterization,0.36150098975265316,0.17255793394997707,0.003598613147529351,0.5276742432346062,0.020465689530439195,0.5261798238218742,0.24985248445657102,0.027313061188653072,0.20125182593546853,0.08993038927464948,0.2761885062834566,0.01677946194717555,1.0,0.25877501879307474,0.01672156117949459,0.12759380529160688,0.3593572489488527,0.1508539028187797,0.04089663242652738,0.1267803154492274
componentOf,0.28077242262909613,0.12975790404841475,0.2786501741300467,0.2143752572542955,0.1432602718938973,0.04758137562503748,0.1801213206479246,0.03513657377929402,0.07004907811950949,0.28042312066025143,0.18886795057441044,0.022073704662875233,0.25877501879307474,1.0,0.03943827778846695,0.2868004390882181,0.213605149327205,0.38384242067659996,0.1129452981998956,0.12197660508816141
derivation,0.014040689292569238,0.0538553282414112,0.23373442741793862,0.04033391600006678,0.1355115010748132,0.11949009723924768,0.30683374176163913,0.20406751505518209,0.063044530841655,0.011567762991767252,0.14419950831371195,0.02236390165164923,0.01672156117949459,0.03943827778846695,1.0,0.4655576609678249,0.39402446190909773,0.22292587592797072,0.016381896765137877,0.35249128394471607
material,0.15322762062977804,0.01699049857421853,0.36074260946264874,0.15340765392587064,0.12393426465790883,0.05162062489623897,0.2550659627785075,0.1598477248877957,0.0,0.19916992244449244,0.025755528534167186,0.08964335833549289,0.12759380529160688,0.2868004390882181,0.4655576609678249,1.0,0.3251504926014864,0.24559166507390728,0.14080027995433358,0.22908100969548026
mediation,0.09127207052642952,0.08947197079661033,0.25018444761749464,0.24157511836755335,0.23040005830496607,0.10853376385244266,0.7138316036759995,0.2177844936538455,0.21630353255610157,0.2304949180798526,0.07570821262415396,0.055043250998266194,0.3593572489488527,0.213605149327205,0.39402446190909773,0.3251504926014864,1.0,0.3529182399312173,0.16497038896870908,0.23226675422693988
memberOf,0.07979517884637764,0.00563718690624813,0.1845683700027961,0.24499655993414332,0.14691521409238584,0.19325371733675603,0.2375841649645316,0.11509436531977818,0.08120149056085058,0.1745873259052089,0.0988508755967895,0.07261376491486247,0.1508539028187797,0.38384242067659996,0.22292587592797072,0.24559166507390728,0.3529182399312173,1.0,0.20162754615248266,0.3044658261098224
none_r,0.12843595252329504,0.2422817996768046,0.05397640192253148,0.06892689671334984,0.08180352005750904,0.05810980424224256,0.07109565242898722,0.014205563510766626,0.09076847859015653,0.06605515144686695,0.09879885536938979,0.18060521032175603,0.04089663242652738,0.1129452981998956,0.016381896765137877,0.14080027995433358,0.16497038896870908,0.20162754615248266,1.0,0.03595230906292791
other_r,0.05980822398674461,0.1116219667122329,0.062385567595304385,0.06090666045676049,0.0651593404742519,0.12335143001963655,0.14867969724197302,0.037978241566938756,0.1552395969593724,0.04044871097536439,0.15063622370007926,0.020832703690777325,0.1267803154492274,0.12197660508816141,0.35249128394471607,0.22908100969548026,0.23226675422693988,0.3044658261098224,0.03595230906292791,1.0
