Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
bringsAbout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
characterization,0.0,1.4118191793225023,0.08414863033853784,0.7967027439988875,0.0,0.5720213442333266,0.29875805818934015,0.0,0.0,0.0,0.7322685755893965,1.1739468402322275,0.5966000843449658,0.14999492361041505,0.0,0.328083150400285,0.2987580581893401,0.0,0.0
comparative,0.0,0.08414863033853784,0.1499949236104153,0.10219166977869497,0.0,0.013087859233951518,0.0025092203842648764,0.0,0.0,0.0,0.10219166977869501,0.10219166977869494,0.14999492361041517,0.001231789031490474,0.0,0.005215485908542344,0.0025092203842648764,0.0,0.0
componentOf,0.0,0.7967027439988875,0.10219166977869497,1.6283356526043842,0.0,0.6643150255285314,0.1039232635621748,0.0,0.0,0.0,0.8829387555994014,0.9703589655881055,0.6386253589013501,0.021006422255127416,0.0,0.3975680828867224,0.23291176491746268,0.0,0.0
creation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derivation,0.0,0.5720213442333266,0.013087859233951518,0.6643150255285314,0.0,1.1100605570361508,0.16185099381287602,0.0,0.0,0.0,0.8686573406692057,0.8243849641141556,0.4238299634139019,0.013087859233951518,0.0,0.31208605164226244,0.2211945899660559,0.0,0.0
externalDependence,0.0,0.29875805818934015,0.0025092203842648764,0.1039232635621748,0.0,0.16185099381287602,0.2987580581893401,0.0,0.0,0.0,0.12938715437334491,0.2329117649174627,0.15534829669417904,0.1499949236104149,0.0,0.010636380419182134,0.005113238864792813,0.0,0.0
historicalDependence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instantiation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manifestation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
material,0.0,0.7322685755893965,0.10219166977869501,0.8829387555994014,0.0,0.8686573406692057,0.12938715437334491,0.0,0.0,0.0,1.7009853812013043,1.0908119480167455,0.5262897342933468,0.02842727362614038,0.0,0.38455894760923504,0.2987580581893403,0.0,0.0
mediation,0.0,1.1739468402322275,0.10219166977869494,0.9703589655881055,0.0,0.8243849641141556,0.2329117649174627,0.0,0.0,0.0,1.0908119480167455,1.884012098853449,0.7700790131637377,0.08414863033853809,0.0,0.4203768316954899,0.29875805818933987,0.0,0.0
memberOf,0.0,0.5966000843449658,0.14999492361041517,0.6386253589013501,0.0,0.4238299634139019,0.15534829669417904,0.0,0.0,0.0,0.5262897342933468,0.7700790131637377,1.055754606085733,0.0724314553871312,0.0,0.40118986218700553,0.22119458996605618,0.0,0.0
participation,0.0,0.14999492361041505,0.001231789031490474,0.021006422255127416,0.0,0.013087859233951518,0.1499949236104149,0.0,0.0,0.0,0.02842727362614038,0.08414863033853809,0.0724314553871312,0.1499949236104153,0.0,0.005215485908542344,0.0025092203842648764,0.0,0.0
participational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subCollectionOf,0.0,0.328083150400285,0.005215485908542344,0.3975680828867224,0.0,0.31208605164226244,0.010636380419182134,0.0,0.0,0.0,0.38455894760923504,0.4203768316954899,0.40118986218700553,0.005215485908542344,0.0,0.5924028775138874,0.29875805818933976,0.0,0.0
subQuantityOf,0.0,0.2987580581893401,0.0025092203842648764,0.23291176491746268,0.0,0.2211945899660559,0.005113238864792813,0.0,0.0,0.0,0.2987580581893403,0.29875805818933987,0.22119458996605618,0.0025092203842648764,0.0,0.29875805818933976,0.2987580581893401,0.0,0.0
termination,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triggers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
