year,category,period,predicted,slope,intercept
2019,none (occurrence),2019-2024,6.472963695921862,-1.056710695927952,2139.971858774457
2020,none (occurrence),2019-2024,5.416252999993958,-1.056710695927952,2139.971858774457
2021,none (occurrence),2019-2024,4.3595423040660535,-1.056710695927952,2139.971858774457
2022,none (occurrence),2019-2024,3.302831608138149,-1.056710695927952,2139.971858774457
2023,none (occurrence),2019-2024,2.2461209122102446,-1.056710695927952,2139.971858774457
2024,none (occurrence),2019-2024,1.1894102162823401,-1.056710695927952,2139.971858774457
2019,none (model-wise),2019-2024,1.9723703303665445,-0.12527860410021696,254.90987200870458
2020,none (model-wise),2019-2024,1.8470917262663136,-0.12527860410021696,254.90987200870458
2021,none (model-wise),2019-2024,1.721813122166111,-0.12527860410021696,254.90987200870458
2022,none (model-wise),2019-2024,1.59653451806588,-0.12527860410021696,254.90987200870458
2023,none (model-wise),2019-2024,1.4712559139656776,-0.12527860410021696,254.90987200870458
2024,none (model-wise),2019-2024,1.3459773098654466,-0.12527860410021696,254.90987200870458
2019,other (occurrence),2019-2024,2.791621856501024,-0.5573390171966147,1128.0590975764662
2020,other (occurrence),2019-2024,2.2342828393045693,-0.5573390171966147,1128.0590975764662
2021,other (occurrence),2019-2024,1.6769438221078872,-0.5573390171966147,1128.0590975764662
2022,other (occurrence),2019-2024,1.119604804911205,-0.5573390171966147,1128.0590975764662
2023,other (occurrence),2019-2024,0.5622657877147503,-0.5573390171966147,1128.0590975764662
2024,other (occurrence),2019-2024,0.004926770518068224,-0.5573390171966147,1128.0590975764662
2019,other (model-wise),2019-2024,2.7049710629672745,-0.4824214612430741,976.7139013127339
2020,other (model-wise),2019-2024,2.2225496017242676,-0.4824214612430741,976.7139013127339
2021,other (model-wise),2019-2024,1.740128140481147,-0.4824214612430741,976.7139013127339
2022,other (model-wise),2019-2024,1.2577066792380265,-0.4824214612430741,976.7139013127339
2023,other (model-wise),2019-2024,0.7752852179950196,-0.4824214612430741,976.7139013127339
2024,other (model-wise),2019-2024,0.292863756751899,-0.4824214612430741,976.7139013127339
