Stereotype,category,collective,datatype,enumeration,event,kind,mixin,mode,phase,quality,quantity,relator,role,roleMixin,situation,subkind,type,none_c,other_c,characterization,componentOf,derivation,material,mediation,memberOf,subCollectionOf,none_r,other_r
quantity,0.07679425377272005,0.2379986484065753,0.47193990372426947,0.3738321088841869,-0.016597653257732305,0.21684543705982773,0.5156102614533682,0.2760569736087841,0.3324963368250692,0.12016032071277435,1.0,0.055829052623908255,0.26444294267397256,-0.0778498944161523,0.2584432806109095,0.07679425377272005,0.18090680674665818,-0.18496783160654653,-0.033731512431528755,0.4819992036541475,0.1410800526907246,0.2977549473275107,0.2335496832484569,0.1936519068598933,0.2379986484065753,0.12016032071277435,0.16854996561581054,0.2987577586391815
relator,0.013870839642941318,0.14886628953921086,-0.23289712627804457,0.010249000771134848,-0.3376412643274269,-0.051787955522155454,0.051787955522155454,0.17712297710801905,0.051787955522155454,0.010249000771134848,0.055829052623908255,1.0,0.10826639239215335,0.23904572186687872,-0.06900655593423542,-0.1179021369650012,0.16201851746019652,-0.17850229076336324,-0.08877935232369506,0.36035409316916067,0.025482359571881278,0.35714285714285715,0.11952286093343936,0.6642111641550714,0.14886628953921086,0.010249000771134848,0.06900655593423542,0.14652356753831736
role,0.06570137733212028,0.09615384615384616,-0.016343011261515338,0.048545977336288584,-0.22329710418318627,0.42051713353118003,0.378465420178062,0.04194851880896947,0.24530166122652167,0.048545977336288584,0.26444294267397256,0.10826639239215335,1.0,0.0,-0.17160161824591105,0.06570137733212028,0.2119556879991987,0.030745589405179942,-0.15418961562809932,-0.030479873164977297,0.006035056869815845,0.14886628953921086,0.3396831102433787,-0.04194851880896947,-0.02564102564102564,0.048545977336288584,0.3268602252303067,0.12070113739631691
roleMixin,0.4061811972299616,0.0,-0.14433756729740643,0.0,0.31980107453341566,-0.18569533817705186,0.18569533817705186,0.47633051162246687,0.30949223029508643,0.17149858514250882,-0.0778498944161523,0.23904572186687872,0.0,1.0,0.0,0.17407765595569782,0.25819888974716115,0.2036532699906392,-0.06189844605901729,0.26919095102908275,-0.10660035817780522,0.0,-0.05263157894736842,0.26462806201248157,0.0,0.0,0.14433756729740643,0.10660035817780522
situation,-0.0418765756358005,-0.13891559572288037,0.20833333333333334,0.08663791001045901,0.5077524002897476,-0.26802813370944867,0.09827698236013119,-0.09930900384472288,-0.07147416898918632,0.3217979514674192,0.2584432806109095,-0.06900655593423542,-0.17160161824591105,0.0,1.0,-0.20100756305184242,0.13043729868748774,-0.20576372293827538,0.4377792850587662,0.24089707546208103,-0.22310332740004057,-0.09488401440957371,-0.14433756729740643,-0.045834924851410566,0.016343011261515338,-0.14852213144650114,0.1875,0.06923896367587466
subkind,0.4882154882154882,0.05913123959890826,0.1172544117802414,0.029854071701326604,0.07422696190252055,0.1903607430181528,0.08260937904561348,0.34088716224071564,0.35557950110937975,-0.15922171574040855,0.07679425377272005,-0.1179021369650012,0.06570137733212028,0.17407765595569782,-0.20100756305184242,1.0,0.32960882164869615,0.1536230967599611,0.08260937904561348,0.04061211245834407,0.30927900792716895,-0.013870839642941318,0.2901294265928297,0.2426133857388877,-0.06570137733212028,0.029854071701326604,0.0418765756358005,-0.16082508412212787
type,0.32960882164869615,0.20464687117164013,0.13043729868748774,0.03321055820775357,0.21331172949323238,-0.015982110049512808,0.4714722464606278,0.314302690314802,0.16781215551988446,0.2435440935235262,0.18090680674665818,0.16201851746019652,0.2119556879991987,0.25819888974716115,0.13043729868748774,0.32960882164869615,1.0,0.2541513996573158,0.16781215551988446,0.24326681639992057,0.08257228238447704,-0.015430334996209192,0.25819888974716115,0.07515933898832221,0.20464687117164013,0.2435440935235262,0.22360679774997896,0.08257228238447704
none_c,0.003939053763075926,-0.17678713907978466,-0.20576372293827538,-0.1629891557608532,0.4197172228182792,-0.054625224104784945,0.054625224104784945,0.2550905520912703,0.054625224104784945,-0.1629891557608532,-0.18496783160654653,-0.17850229076336324,0.030745589405179942,0.2036532699906392,-0.20576372293827538,0.1536230967599611,0.2541513996573158,1.0,0.054625224104784945,-0.10598846036266127,0.007236503841694469,0.02434122146773135,0.2036532699906392,-0.11856321435228055,-0.030745589405179942,0.05821041277173329,0.20576372293827538,0.007236503841694469
other_c,0.21909444007749662,-0.11213790227498134,0.09827698236013119,-0.19107892658954462,0.4025021877529887,0.019157088122605363,-0.019157088122605363,0.12121248708414586,-0.019157088122605363,-0.19107892658954462,-0.033731512431528755,-0.08877935232369506,-0.15418961562809932,-0.06189844605901729,0.4377792850587662,0.08260937904561348,0.16781215551988446,0.054625224104784945,1.0,0.1832875171803417,0.026393586082163193,0.08877935232369506,0.06189844605901729,0.0032760131644363746,0.15418961562809932,0.010615495921641366,0.2412253203385038,0.15176311997243835
characterization,0.39674909863151514,0.2621269092188047,0.24089707546208103,0.24929568306713204,0.07460921467460305,-0.056652505310287433,0.4365575409204502,0.46445532752744195,0.056652505310287433,0.24929568306713204,0.4819992036541475,0.36035409316916067,-0.030479873164977297,0.26919095102908275,0.24089707546208103,0.04061211245834407,0.24326681639992057,-0.10598846036266127,0.1832875171803417,1.0,0.2926976883388273,0.2509608863142369,0.05383819020581655,0.6183239636408276,0.3779504272457185,0.07386538757544653,0.20204270845206798,0.40174192517093943
componentOf,0.07422696190252055,0.33796318470968734,0.21541010921383227,0.22852263253972832,-0.29545454545454547,0.3497150155886623,0.15176311997243835,0.09027022782217275,0.15176311997243835,-0.2925089696508522,0.1410800526907246,0.025482359571881278,0.006035056869815845,-0.10660035817780522,-0.22310332740004057,0.30927900792716895,0.08257228238447704,0.007236503841694469,0.026393586082163193,0.2926976883388273,1.0,0.3376412643274269,0.31980107453341566,0.23131745879431767,0.4526292652361884,0.22852263253972832,-0.21541010921383227,0.13636363636363635
derivation,0.1179021369650012,0.23683273335783547,-0.09488401440957371,-0.010249000771134848,-0.26756477550475344,0.3329225712138565,0.08877935232369506,0.0632582061100068,0.36991396801539606,-0.20498001542269695,0.2977549473275107,0.35714285714285715,0.14886628953921086,0.0,-0.09488401440957371,-0.013870839642941318,-0.015430334996209192,0.02434122146773135,0.08877935232369506,0.2509608863142369,0.3376412643274269,1.0,0.5976143046671968,0.4175041603260449,0.3653990743235176,0.37921302853198935,-0.06900655593423542,0.5797236802602991
material,0.2901294265928297,0.22645540682891915,0.0,0.0,-0.10660035817780522,0.5570860145311556,0.18569533817705186,0.15877683720748895,0.18569533817705186,-0.34299717028501764,0.2335496832484569,0.11952286093343936,0.3396831102433787,-0.05263157894736842,-0.14433756729740643,0.2901294265928297,0.25819888974716115,0.2036532699906392,0.06189844605901729,0.05383819020581655,0.31980107453341566,0.5976143046671968,1.0,0.26462806201248157,0.22645540682891915,0.17149858514250882,0.0,0.31980107453341566
mediation,0.35931349533480833,0.2696690494862323,-0.045834924851410566,0.13615001467243404,-0.1974661233610029,-0.0032760131644363746,0.12776451341301862,0.2773109243697479,0.12776451341301862,-0.03630667057931574,0.1936519068598933,0.6642111641550714,-0.04194851880896947,0.26462806201248157,-0.045834924851410566,0.2426133857388877,0.07515933898832221,-0.11856321435228055,0.0032760131644363746,0.6183239636408276,0.23131745879431767,0.4175041603260449,0.26462806201248157,1.0,0.38352931482486374,0.13615001467243404,-0.09930900384472288,0.33851335433314783
memberOf,0.1839638565299368,0.7564102564102564,0.3268602252303067,-0.048545977336288584,-0.12070113739631691,0.11213790227498134,0.28735337457963966,0.2996322772069248,0.15418961562809932,-0.2330206912141852,0.2379986484065753,0.14886628953921086,-0.02564102564102564,0.0,0.016343011261515338,-0.06570137733212028,0.20464687117164013,-0.030745589405179942,0.15418961562809932,0.3779504272457185,0.4526292652361884,0.3653990743235176,0.22645540682891915,0.38352931482486374,1.0,0.5048781642974013,-0.3268602252303067,0.33796318470968734
subCollectionOf,-0.15922171574040855,0.32040345041950463,0.08663791001045901,0.16176470588235295,-0.11883176892065872,0.19107892658954462,0.21230991843282734,0.03630667057931574,0.21230991843282734,-0.11764705882352941,0.12016032071277435,0.010249000771134848,0.048545977336288584,0.0,-0.14852213144650114,0.029854071701326604,0.2435440935235262,0.05821041277173329,0.010615495921641366,0.07386538757544653,0.22852263253972832,0.37921302853198935,0.17149858514250882,0.13615001467243404,0.5048781642974013,1.0,-0.3217979514674192,0.22852263253972832
none_r,0.20100756305184242,-0.3268602252303067,-0.010416666666666666,-0.08663791001045901,0.22310332740004057,-0.07147416898918632,0.2412253203385038,0.24445293254085634,-0.09827698236013119,0.14852213144650114,0.16854996561581054,0.06900655593423542,0.3268602252303067,0.14433756729740643,0.1875,0.0418765756358005,0.22360679774997896,0.20576372293827538,0.2412253203385038,0.20204270845206798,-0.21541010921383227,-0.06900655593423542,0.0,-0.09930900384472288,-0.3268602252303067,-0.3217979514674192,1.0,-0.21541010921383227
other_r,0.19175298491484477,0.22329710418318627,0.06923896367587466,0.05484543180953479,-0.07954545454545454,0.22434548169838714,0.2771326538627135,-0.01692566771665739,0.2771326538627135,0.05484543180953479,0.2987577586391815,0.14652356753831736,0.12070113739631691,0.10660035817780522,0.06923896367587466,-0.16082508412212787,0.08257228238447704,0.007236503841694469,0.15176311997243835,0.40174192517093943,0.13636363636363635,0.5797236802602991,0.31980107453341566,0.33851335433314783,0.33796318470968734,0.22852263253972832,-0.21541010921383227,1.0
