Stereotype,Stereotype2,Absolute Value,Sign,Classification
event,category,0.11133580974892195,positive,very_weak
kind,category,0.0414484888601659,positive,very_weak
mode,category,0.3757992544456154,positive,weak
phase,category,0.05838512061495696,positive,very_weak
quality,category,0.19259017991578972,positive,very_weak
relator,category,0.010656213637849602,positive,very_weak
role,category,0.046513949519857545,positive,very_weak
subkind,category,0.29933898639485945,positive,weak
type,category,0.32264464153912326,positive,weak
characterization,category,0.36514225267924877,positive,weak
derivation,category,0.009916221395048613,positive,very_weak
formal,category,0.012877081730995315,positive,very_weak
material,category,0.14886886846730948,positive,very_weak
mediation,category,0.094436601319251,positive,very_weak
participation,category,0.12869847301258655,positive,very_weak
category,event,0.11133580974892195,positive,very_weak
kind,event,0.2127274958649065,positive,weak
mode,event,0.19542930601779265,positive,very_weak
phase,event,0.10405293912354782,positive,very_weak
quality,event,0.10559775812557068,positive,very_weak
relator,event,0.044310288898382774,positive,very_weak
role,event,0.003948132772989974,positive,very_weak
subkind,event,0.00792519372040046,positive,very_weak
type,event,0.3096764976927816,positive,weak
characterization,event,0.20754141815519825,positive,weak
derivation,event,0.013218879493124744,positive,very_weak
formal,event,0.02342648028732848,positive,very_weak
material,event,0.020010749757363937,positive,very_weak
mediation,event,0.03416825663976446,positive,very_weak
participation,event,0.6226191675016144,positive,strong
category,kind,0.0414484888601659,positive,very_weak
event,kind,0.2127274958649065,positive,weak
mode,kind,0.10761152980407827,positive,very_weak
phase,kind,0.27086995518800006,positive,weak
quality,kind,0.09738567209492428,positive,very_weak
relator,kind,0.23253862070664985,positive,weak
role,kind,0.4369055945890265,positive,moderate
subkind,kind,0.4880526993154439,positive,moderate
type,kind,0.1364862873499991,positive,very_weak
characterization,kind,0.027095851626725447,positive,very_weak
derivation,kind,0.2621206873509797,positive,weak
formal,kind,0.016767214953863213,positive,very_weak
material,kind,0.36672207689704517,positive,weak
mediation,kind,0.2522524192239748,positive,weak
participation,kind,0.17616612830818687,positive,very_weak
category,mode,0.3757992544456154,positive,weak
event,mode,0.19542930601779265,positive,very_weak
kind,mode,0.10761152980407827,positive,very_weak
