Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.08404977220207888,positive,very_weak
datatype,category,0.10527936095153946,negative,very_weak
event,category,0.13904693239779647,positive,very_weak
kind,category,0.049844478627922684,positive,very_weak
mixin,category,0.14374722712498647,positive,very_weak
mode,category,0.44047619047619047,positive,moderate
phase,category,0.3563483225498992,positive,weak
quality,category,0.08773280079294955,positive,very_weak
relator,category,0.0,negative,very_weak
role,category,0.08333333333333333,positive,very_weak
roleMixin,category,0.3939663084604233,positive,weak
situation,category,0.031943828249996996,negative,very_weak
subkind,category,0.5345224838248488,positive,moderate
type,category,0.2807449625374386,positive,weak
none_c,category,0.1336306209562122,negative,very_weak
other_c,category,0.1336306209562122,positive,very_weak
characterization,category,0.36137247005243944,positive,weak
componentOf,category,0.049844478627922684,negative,very_weak
derivation,category,0.029695693545824933,positive,very_weak
material,category,0.22268343469578533,positive,weak
mediation,category,0.3105295017040594,positive,weak
memberOf,category,0.029695693545824933,positive,very_weak
none_r,category,0.20763488362498048,positive,weak
other_r,category,0.1336306209562122,positive,very_weak
category,collective,0.08404977220207888,positive,very_weak
datatype,collective,0.2615284308086944,positive,weak
event,collective,0.2954179256673254,negative,weak
kind,collective,0.01955061301297202,positive,very_weak
mixin,collective,0.1942057042751279,positive,very_weak
mode,collective,0.37822397490935494,positive,weak
phase,collective,0.13977131156292244,positive,very_weak
quality,collective,0.034411635632722946,positive,very_weak
relator,collective,0.052414241836095915,positive,very_weak
role,collective,0.08404977220207888,positive,very_weak
roleMixin,collective,0.14543651725160636,negative,very_weak
situation,collective,0.21926450482675733,negative,weak
subkind,collective,0.052414241836095915,positive,very_weak
type,collective,0.034411635632722946,positive,very_weak
none_c,collective,0.24459979523511424,negative,weak
other_c,collective,0.1205527562230206,negative,very_weak
characterization,collective,0.14174194434404716,positive,very_weak
componentOf,collective,0.14174194434404716,positive,very_weak
derivation,collective,0.13977131156292244,positive,very_weak
material,collective,0.03677626490259673,positive,very_weak
mediation,collective,0.12179969144117253,positive,very_weak
memberOf,collective,0.7163279717599774,positive,strong
none_r,collective,0.4009408088260705,negative,moderate
other_r,collective,0.10482848367219183,positive,very_weak
category,datatype,0.10527936095153946,negative,very_weak
collective,datatype,0.2615284308086944,positive,weak
event,datatype,0.05692855849765747,positive,very_weak
kind,datatype,0.24488775998915044,positive,weak
mixin,datatype,0.3609647718302481,positive,weak
mode,datatype,0.10527936095153946,positive,very_weak
phase,datatype,0.06565321642986127,positive,very_weak
quality,datatype,0.14655172413793102,positive,very_weak
relator,datatype,0.3282660821493064,negative,weak
role,datatype,0.10527936095153946,negative,very_weak
roleMixin,datatype,0.13093568454461219,negative,very_weak
situation,datatype,0.10201178334333098,positive,very_weak
subkind,datatype,0.06565321642986129,positive,very_weak
type,datatype,0.13793103448275862,negative,very_weak
none_c,datatype,0.1750752438129634,negative,very_weak
other_c,datatype,0.006565321642986128,positive,very_weak
characterization,datatype,0.1591770439929478,positive,very_weak
componentOf,datatype,0.1591770439929478,positive,very_weak
derivation,datatype,0.06565321642986127,positive,very_weak
material,datatype,0.10940519192990869,negative,very_weak
mediation,datatype,0.15256428831468233,negative,very_weak
memberOf,datatype,0.30638167667268595,positive,weak
none_r,datatype,0.10201178334333098,negative,very_weak
other_r,datatype,0.13130643285972257,positive,very_weak
category,event,0.13904693239779647,positive,very_weak
collective,event,0.2954179256673254,negative,weak
datatype,event,0.05692855849765747,positive,very_weak
kind,event,0.367905818213731,negative,weak
mixin,event,0.02072789286028605,negative,very_weak
mode,event,0.24333213169614382,positive,weak
phase,event,0.086710996952412,negative,very_weak
quality,event,0.05692855849765747,positive,very_weak
relator,event,0.303488489333442,negative,weak
role,event,0.24333213169614382,negative,weak
roleMixin,event,0.37969924812030076,positive,weak
situation,event,0.49228745543179364,positive,moderate
subkind,event,0.08671099695241201,positive,very_weak
type,event,0.2447928015399271,positive,weak
none_c,event,0.390199486285854,positive,weak
other_c,event,0.2297841419238918,positive,weak
characterization,event,0.10107302698179423,positive,very_weak
componentOf,event,0.2991761598661109,negative,weak
derivation,event,0.245681158031834,negative,weak
material,event,0.06464298895333727,negative,very_weak
mediation,event,0.16791512356486687,negative,very_weak
memberOf,event,0.086710996952412,negative,very_weak
none_r,event,0.19173300895764595,positive,very_weak
other_r,event,0.08671099695241201,negative,very_weak
category,kind,0.049844478627922684,positive,very_weak
collective,kind,0.01955061301297202,positive,very_weak
datatype,kind,0.24488775998915044,positive,weak
event,kind,0.367905818213731,negative,weak
mixin,kind,0.08916451401205645,negative,very_weak
mode,kind,0.049844478627922684,negative,very_weak
phase,kind,0.13987572123604705,positive,very_weak
quality,kind,0.3612094459839969,negative,weak
relator,kind,0.046625240412015684,negative,very_weak
role,kind,0.4610614273082848,positive,moderate
roleMixin,kind,0.23448942259776262,negative,weak
situation,kind,0.2730663241619229,negative,weak
subkind,kind,0.23312620206007845,positive,weak
type,kind,0.1591770439929478,negative,very_weak
none_c,kind,0.20204270845206798,negative,weak
other_c,kind,0.08858795678282981,negative,very_weak
characterization,kind,0.1391304347826087,negative,very_weak
componentOf,kind,0.29130434782608694,positive,weak
derivation,kind,0.3108349360801046,positive,weak
material,kind,0.531609533071195,positive,moderate
mediation,kind,0.0601929265428846,negative,very_weak
memberOf,kind,0.031083493608010458,negative,very_weak
none_r,kind,0.09473729613780998,negative,very_weak
other_r,kind,0.18650096164806274,positive,very_weak
category,mixin,0.14374722712498647,positive,very_weak
collective,mixin,0.1942057042751279,positive,very_weak
datatype,mixin,0.3609647718302481,positive,weak
event,mixin,0.02072789286028605,negative,very_weak
kind,mixin,0.08916451401205645,negative,very_weak
mode,mixin,0.20763488362498048,positive,weak
phase,mixin,0.45817096691151754,positive,moderate
quality,mixin,0.6199177603171653,positive,strong
relator,mixin,0.05976143046671969,negative,very_weak
role,mixin,0.31943828249996997,positive,weak
roleMixin,mixin,0.15027722323707385,positive,very_weak
situation,mixin,0.05714285714285714,positive,very_weak
subkind,mixin,0.05976143046671969,negative,very_weak
type,mixin,0.10201178334333098,positive,very_weak
none_c,mixin,0.019920476822239894,positive,very_weak
other_c,mixin,0.23904572186687872,negative,weak
characterization,mixin,0.2730663241619229,positive,weak
componentOf,mixin,0.09473729613780998,negative,very_weak
derivation,mixin,0.019920476822239894,positive,very_weak
material,mixin,0.005241424183609591,positive,very_weak
mediation,mixin,0.04629100498862757,negative,very_weak
memberOf,mixin,0.019920476822239894,positive,very_weak
none_r,mixin,0.17857142857142858,positive,very_weak
other_r,mixin,0.23904572186687875,positive,weak
category,mode,0.44047619047619047,positive,moderate
collective,mode,0.37822397490935494,positive,weak
datatype,mode,0.10527936095153946,positive,very_weak
event,mode,0.24333213169614382,positive,weak
kind,mode,0.049844478627922684,negative,very_weak
mixin,mode,0.20763488362498048,positive,weak
phase,mode,0.2969569354582493,positive,weak
quality,mode,0.08773280079294955,negative,very_weak
relator,mode,0.1336306209562122,positive,very_weak
role,mode,0.047619047619047616,positive,very_weak
roleMixin,mode,0.49825150775877064,positive,moderate
situation,mode,0.14374722712498647,negative,very_weak
subkind,mode,0.40089186286863654,positive,moderate
type,mode,0.10527936095153946,positive,very_weak
none_c,mode,0.1336306209562122,positive,very_weak
other_c,mode,0.01336306209562122,positive,very_weak
characterization,mode,0.32398911108149747,positive,weak
componentOf,mode,0.0872278375988647,negative,very_weak
derivation,mode,0.029695693545824933,negative,very_weak
material,mode,0.03516054232038716,positive,very_weak
mediation,mode,0.19551857514700036,positive,very_weak
memberOf,mode,0.1336306209562122,positive,very_weak
none_r,mode,0.14374722712498647,positive,very_weak
other_r,mode,0.1336306209562122,negative,very_weak
category,phase,0.3563483225498992,positive,weak
collective,phase,0.13977131156292244,positive,very_weak
datatype,phase,0.06565321642986127,positive,very_weak
event,phase,0.086710996952412,negative,very_weak
kind,phase,0.13987572123604705,positive,very_weak
mixin,phase,0.45817096691151754,positive,moderate
mode,phase,0.2969569354582493,positive,weak
quality,phase,0.06565321642986127,positive,very_weak
relator,phase,0.0,negative,very_weak
role,phase,0.19302200804786204,positive,very_weak
roleMixin,phase,0.231229325206432,positive,weak
situation,phase,0.019920476822239894,positive,very_weak
subkind,phase,0.3333333333333333,positive,weak
type,phase,0.06565321642986127,positive,very_weak
none_c,phase,0.018518518518518517,negative,very_weak
other_c,phase,0.08333333333333333,negative,very_weak
characterization,phase,0.031083493608010458,positive,very_weak
componentOf,phase,0.031083493608010458,positive,very_weak
derivation,phase,0.18518518518518517,positive,very_weak
material,phase,0.10232343558582008,positive,very_weak
mediation,phase,0.04303314829119352,positive,very_weak
memberOf,phase,0.018518518518518517,negative,very_weak
none_r,phase,0.019920476822239894,negative,very_weak
other_r,phase,0.16666666666666666,positive,very_weak
category,quality,0.08773280079294955,positive,very_weak
collective,quality,0.034411635632722946,positive,very_weak
datatype,quality,0.14655172413793102,positive,very_weak
event,quality,0.05692855849765747,positive,very_weak
kind,quality,0.3612094459839969,negative,weak
mixin,quality,0.6199177603171653,positive,strong
mode,quality,0.08773280079294955,negative,very_weak
phase,quality,0.06565321642986127,positive,very_weak
relator,quality,0.06565321642986129,positive,very_weak
role,quality,0.08773280079294955,positive,very_weak
roleMixin,quality,0.2447928015399271,positive,weak
situation,quality,0.3609647718302481,positive,weak
subkind,quality,0.13130643285972257,negative,very_weak
type,quality,0.43103448275862066,positive,moderate
none_c,quality,0.1750752438129634,negative,very_weak
other_c,quality,0.2100902925755561,negative,weak
characterization,quality,0.3612094459839969,positive,weak
componentOf,quality,0.24488775998915044,negative,weak
derivation,quality,0.1750752438129634,negative,very_weak
material,quality,0.29942473580817114,negative,weak
mediation,quality,0.03390317518104052,positive,very_weak
memberOf,quality,0.1750752438129634,negative,very_weak
none_r,quality,0.15694120514358614,positive,very_weak
other_r,quality,0.13130643285972257,positive,very_weak
category,relator,0.0,negative,very_weak
