Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none,other
category,1.0,0.03155812082939313,0.14983040013254534,0.12787791612144883,0.15719865716365825,0.04237920172905545,0.3156392571160493,-0.14636603526265382,0.32648875025790286,-0.14648314235896057,-0.10275466109364699,0.23631506735642574,0.2599862144242953,0.22732052265157696,0.33210123571064576,0.2389543286359035,-0.11923020670437026
collective,0.03155812082939313,1.0,0.1051775237614859,0.10355483499816977,0.29179087710925306,0.02639784202020473,0.11291068483485593,0.337290587527794,-0.03104132265346907,0.34144749926868073,0.17386548535631696,-0.04690185946694027,-0.288884816430244,0.17124472526166717,0.10278391991305615,-0.10757860657200241,-0.05540356390272879
datatype,0.14983040013254534,0.1051775237614859,1.0,0.11545283836534931,0.09344999618637864,-0.011585500090998162,0.017413377294514133,-0.029871166332178102,0.09544172350093101,-0.058241808258508825,-0.14401119048872046,-0.01948725027638254,0.12222615098257655,0.055587585449472544,0.05153861251813714,0.08875555639317706,0.04341503825425354
event,0.12787791612144883,0.10355483499816977,0.11545283836534931,1.0,-0.13513371417029182,-0.11150904331143989,0.19202866616888697,0.14474834752377436,0.16647295805271972,0.14132419988699396,-0.055948143139851476,0.3067224548146219,0.5017292358893558,0.05900512583759856,0.3351067772527471,0.037357354512245124,-0.016427940993929923
kind,0.15719865716365825,0.29179087710925306,0.09344999618637864,-0.13513371417029182,1.0,0.08958140232267453,0.1606667160886289,0.28037585302995033,0.27159145481187724,0.36363521118135056,0.34526339215461394,-0.18331109308651766,-0.20942972558259462,0.6245735421087212,-0.2539538248070547,0.04014069447142832,0.01557945541680123
mixin,0.04237920172905545,0.02639784202020473,-0.011585500090998162,-0.11150904331143989,0.08958140232267453,1.0,0.157770063228634,0.13382198421869138,0.20099051515747285,0.05857920583794055,0.29235999993018286,0.06758991533748394,-0.12308042474591904,0.03930644568291599,0.0038506414189960867,0.14618058923770502,-0.15167902558920604
mode,0.3156392571160493,0.11291068483485593,0.017413377294514133,0.19202866616888697,0.1606667160886289,0.157770063228634,1.0,0.067274227788815,0.3505204509606244,0.08137900626281654,0.24021275230251143,0.1681910203793532,-0.06080622386853204,0.2987108774284408,0.2318511097789236,0.2110980806491846,-0.18385925572889872
phase,-0.14636603526265382,0.337290587527794,-0.029871166332178102,0.14474834752377436,0.28037585302995033,0.13382198421869138,0.067274227788815,1.0,0.11662141349674972,0.35394625923227746,0.40501131208145585,-0.009880681476759893,-0.08314804211774784,0.32370638616665787,-0.040876204557754724,-0.057980350532355285,0.08818320508692291
quality,0.32648875025790286,-0.03104132265346907,0.09544172350093101,0.16647295805271972,0.27159145481187724,0.20099051515747285,0.3505204509606244,0.11662141349674972,1.0,0.18634664280635002,0.13655984479055222,0.04002147894441981,0.14732733549984361,0.41597825729387095,0.13202912647099785,0.2819476980872405,-0.1546718454365695
relator,-0.14648314235896057,0.34144749926868073,-0.058241808258508825,0.14132419988699396,0.36363521118135056,0.05857920583794055,0.08137900626281654,0.35394625923227746,0.18634664280635002,1.0,0.3890591820878042,0.08861698488354622,-0.16492304584546696,0.3031513898282797,0.03048168188106869,-0.153092479446831,-0.09054223507219154
role,-0.10275466109364699,0.17386548535631696,-0.14401119048872046,-0.055948143139851476,0.34526339215461394,0.29235999993018286,0.24021275230251143,0.40501131208145585,0.13655984479055222,0.3890591820878042,1.0,0.08919194889806968,-0.21833421759492314,0.22788766340331226,-0.18457564933205775,0.09123834247622205,0.0024426673419603927
roleMixin,0.23631506735642574,-0.04690185946694027,-0.01948725027638254,0.3067224548146219,-0.18331109308651766,0.06758991533748394,0.1681910203793532,-0.009880681476759893,0.04002147894441981,0.08861698488354622,0.08919194889806968,1.0,0.23013887963688984,-0.0628055018007856,0.36764521785253695,0.21451355659110843,-0.12653584890185735
situation,0.2599862144242953,-0.288884816430244,0.12222615098257655,0.5017292358893558,-0.20942972558259462,-0.12308042474591904,-0.06080622386853204,-0.08314804211774784,0.14732733549984361,-0.16492304584546696,-0.21833421759492314,0.23013887963688984,1.0,-0.06591819681358164,0.11171106613205115,0.13211796050404287,0.14233825742869327
subkind,0.22732052265157696,0.17124472526166717,0.055587585449472544,0.05900512583759856,0.6245735421087212,0.03930644568291599,0.2987108774284408,0.32370638616665787,0.41597825729387095,0.3031513898282797,0.22788766340331226,-0.0628055018007856,-0.06591819681358164,1.0,-0.06450539507127392,0.014203810375336343,-0.003993072873429004
type,0.33210123571064576,0.10278391991305615,0.05153861251813714,0.3351067772527471,-0.2539538248070547,0.0038506414189960867,0.2318511097789236,-0.040876204557754724,0.13202912647099785,0.03048168188106869,-0.18457564933205775,0.36764521785253695,0.11171106613205115,-0.06450539507127392,1.0,0.05826972367516606,-0.18399555858476127
none,0.2389543286359035,-0.10757860657200241,0.08875555639317706,0.037357354512245124,0.04014069447142832,0.14618058923770502,0.2110980806491846,-0.057980350532355285,0.2819476980872405,-0.153092479446831,0.09123834247622205,0.21451355659110843,0.13211796050404287,0.014203810375336343,0.05826972367516606,1.0,0.019817728619186768
other,-0.11923020670437026,-0.05540356390272879,0.04341503825425354,-0.016427940993929923,0.01557945541680123,-0.15167902558920604,-0.18385925572889872,0.08818320508692291,-0.1546718454365695,-0.09054223507219154,0.0024426673419603927,-0.12653584890185735,0.14233825742869327,-0.003993072873429004,-0.18399555858476127,0.019817728619186768,1.0
