Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,characterization,componentOf,derivation,externalDependence,instantiation,material,mediation,participation
category,1.0,0.1677316328589387,0.11437479384676373,0.022666549620576733,0.2420067335643765,-0.2517264522785793,0.256903660970977,-0.17120297625727274,-0.22150539994788448,0.2252666869817574,0.2773972870680158,0.0653572529713186,0.37046600280551667,0.3782436828993461,0.2690093170473145,-0.14588128897500066,0.15950814378018455,0.29777462691245493,0.07802079989371663,-0.15349168580414393,0.16272509950203726
datatype,0.1677316328589387,1.0,0.1029212774757716,0.05239807634652331,-0.07295600235221705,-0.05848537392072898,0.12529462493610583,-0.07361097955249034,-0.23964309631260833,-0.05128606148599065,0.17169340757216578,0.006178603074229407,0.1104496437626528,-0.09351653962900731,0.1598725720670053,-0.0525993222407785,-0.050437780770051614,0.08708903417511353,0.05401718122810782,-0.013473850126715224,0.09746372989250116
event,0.11437479384676373,0.1029212774757716,1.0,-0.26083124666546753,0.16508400910638246,0.014477345814642339,0.1703353001391061,0.017643976964796918,-0.21379077938632152,0.275607561143174,0.544934671314451,-0.0697596543871877,0.3888078887411958,0.24434115975423396,-0.011846267199802587,0.004543946498135107,0.3195791443677383,0.3973748288507373,-0.03155889621902167,-0.07610830766088769,0.7422482775531216
kind,0.022666549620576733,0.05239807634652331,-0.26083124666546753,1.0,-0.00044652087040889264,0.2559982244796481,0.150937476818613,0.3812159550027109,0.26621822296803216,-0.25171510848205725,-0.22049137043123224,0.5240939937558499,-0.2843560368654983,-0.08718210010102526,0.39877570788150696,0.07866122420106157,-0.2602449537392037,-0.21766118525728426,0.2578388043721954,0.2232366241789,-0.31070396765304814
mode,0.2420067335643765,-0.07295600235221705,0.16508400910638246,-0.00044652087040889264,1.0,-0.04096437639947179,0.25939385930549186,0.0647745924747963,0.09380300959243401,0.07390480870338513,-0.08415124940903931,0.13375528920213664,0.2435716011867171,0.6136633469066957,0.21329832431217954,-0.0331539643664942,0.39613366717833665,0.20918715582458683,0.12536026479331816,0.12409466800423065,0.05212211929784027
phase,-0.2517264522785793,-0.05848537392072898,0.014477345814642339,0.2559982244796481,-0.04096437639947179,1.0,0.06072166217965565,0.23560417561109154,0.3342168076642826,-0.06922973755293685,-0.11918505248419868,0.2730376241994281,-0.11780606008002878,-0.05784331406729812,0.13165432715205036,0.041706282051941566,-0.15987528058613676,-0.06635293498921487,0.10981395437764549,0.3094524206307632,-0.1500240584276953
quality,0.256903660970977,0.12529462493610583,0.1703353001391061,0.150937476818613,0.25939385930549186,0.06072166217965565,1.0,0.16980304710358504,0.012918032759463495,0.03382866176305574,0.18300989646231938,0.3376180374834288,0.14249498090657547,0.6079497451072124,0.14355721381638908,-0.172066086636994,0.06316787573920435,0.16615852454961075,0.11759332695199537,0.0865765137754003,0.1920225382870127
relator,-0.17120297625727274,-0.07361097955249034,0.017643976964796918,0.3812159550027109,0.0647745924747963,0.23560417561109154,0.16980304710358504,1.0,0.34414603385293974,0.10735627998287574,-0.21753783404042681,0.3615572040063688,0.00023606626687508862,0.13792146772424785,0.36396473036978944,0.14051657293453862,0.05488041428185879,0.026965449643504846,0.20987491434962316,0.7626009419507918,-0.07947921482266769
role,-0.22150539994788448,-0.23964309631260833,-0.21379077938632152,0.26621822296803216,0.09380300959243401,0.3342168076642826,0.012918032759463495,0.34414603385293974,1.0,0.016319507508371408,-0.2542073635134172,0.0781069718135152,-0.23234879404546419,-0.0055413994402923545,0.0863345667952041,0.21851583804746932,0.07669103182590717,-0.21553873883184418,0.0039188296402307725,0.43547194217960034,-0.36677458250221734
roleMixin,0.2252666869817574,-0.05128606148599065,0.275607561143174,-0.25171510848205725,0.07390480870338513,-0.06922973755293685,0.03382866176305574,0.10735627998287574,0.016319507508371408,1.0,0.21104653289463593,-0.16326201525537196,0.39316728927430566,0.19602749856407362,0.05511109700767158,0.05169303392579144,0.40098107070822303,0.41833896132333315,-0.04454691323215551,0.14866512896178963,0.23534817023872565
