Stereotype,DistanceFromOrigin,Rank
subkind,10.971317218651887,1
kind,9.948312782636663,2
role,4.496441041711534,3
relator,3.7966537101881004,4
event,3.7871817683723434,5
category,3.3070105118550575,6
mode,2.9235089424973553,7
roleMixin,2.9130637572298688,8
quality,2.6697564015947846,9
phase,2.1711395351076295,10
datatype,0.8752531364868433,11
type,0.8647283957912524,12
collective,0.7811732003839543,13
situation,0.7618782134293502,14
enumeration,0.4381661819727472,15
historicalRole,0.2537525549984511,16
mixin,0.2393773428863612,17
phaseMixin,0.23413760031019573,18
quantity,0.14172179141744884,19
historicalRoleMixin,0.10311774978809929,20
abstract,0.015371886547533636,21
